ID	Transcription_Factor	Cell_type_class	Cell_type	Metadata
SRX2647474	Stat1	Blood	CD4+ T cells	source_name=CD4+ T cells | strain=C57BL/6 | genotype=Tbx21-/- | culture condition=ChIP-seq in vitro culture protocol (IFN-γ)
SRX2647492	Stat2	Blood	CD4+ T cells	source_name=CD4+ T cells | strain=C57BL/6 | genotype=WT | culture condition=ChIP-seq in vitro culture protocol (IFN-β)
SRX2741794	Ezh2	Blood	Erythroid Cells	source_name=Ter119+ Erythroid cells | strain=C57BL6 | tissue=Phenylhydrazine treated spleen
SRX319873	Spi1	Blood	Macrophages	source_name=Primary thioglycollate-elicited peritoneal macrophages | cell type=Macrophage | strain=C57BL/6 | treatment=Kdo2 Lipid A (KLA) 6h
SRX319874	Spi1	Blood	Macrophages	source_name=Primary thioglycollate-elicited peritoneal macrophages | cell type=Macrophage | strain=C57BL/6 | treatment=Kdo2 Lipid A (KLA) 12h
SRX341761	Myod1	Adipocyte	Brown preadipocytes	source_name=MyoD-induced mouse brown preadipocytes, WT, MyoD ChIP | strain/background=C57BL/6J | genotype=MLL3-/- | age=E18.5 embryos | cell type=MyoD-induced immortalized brown preadipocytes
SRX3582922	Nr3c1	Liver	Liver	source_name=GR_ZT12 HFD_liver | strain=C57BL/6J | treatment=12 wk High Fat Diet (Research Diet, D12331) | tissue=Liver
SRX3858835	Rnf2	Epidermis	Epidermal progenitor cells	source_name=Epidermal progenitor cells | cell type=Epidermal progenitor cells | tissue=Epidermis | age=Postnatal day 0 | genotype=Control
SRX392764	Ep300	Blood	HAFTL	source_name=Haftl pre-B cells | cell type=haftl derived C10 cells | time after induction=3 hours
SRX4178770	Irf9	Blood	Macrophages	source_name=WT IRF9 90 min IFNg, BMDM | strain=C57BL/6 | age=8-10 weeks | treatment=IFNg | genotype=wildtype | cell type=bone marrow derived macrophages
SRX4348502	Irf9	Blood	Natural killer cells	source_name=splenic NK cells | genotype=IRF9WT | condition=IFNaIL2
SRX4895097	Rad21	Blood	CH12	source_name=CH12 B cell line | cell line=CH12 | cell type=lymphoma cell line | genotype/variation=Med14Nsmash | treatment=APR60h
SRX5689484	Phf10	Blood	nTreg	source_name=nTregs isolated from Foxp3Thy1.1/Rosa-Cas9 mice | genotype/variation=Foxp3Thy1.1/Rosa-Cas9 | cell type=nTregs | treatment=none | guide rna=none
SRX6095535	Vdr	Kidney	Kidney	source_name=kidney | genotype=M1-IKO | treatment=10 ng/g bw 1,25(OH)2D3
SRX6417441	Arntl	Liver	Liver	source_name=Liver | strain=C57B6/CR | age=22 months | genotype=WT | treatment=NR (~400 mg/kg) | treatment time point=6 months | collection time point=ZT20
SRX661408	Nr3c1	Liver	Liver	source_name=Liver tissue | strain=back-crossed to the BALB/c | genotype/variation=GRdim | collection time=6am
SRX6924490	Yap1	Liver	Liver	source_name=Liver_ChIPSeq_Yap_LapTTA_4W | strain background=C57BL/6 | genotype/variation=tetYAP | tissue=Liver
SRX7368548	Pou2f1	Blood	B cells	source_name=ChIP OBF1KO LPS OCT1 rep2 | genotype=OBF1KO | cell type=CD19+ splenic B cells | sample type=Primary cells | stimulation=LPS
SRX745826	Nr3c1	Blood	Burst-forming unit erythroids	source_name=burst-forming unit erythroid (BFU-E) | develomental stage=E14.5 | tissue=liver | cell type=burst-forming unit erythroid (BFU-E) | treatment=Dexamethasone and GW7647 4 hrs | strain=129/SvImJ
SRX8725650	Ctcf	Liver	Hepa-1c1c7	source_name=Mouse Hepatoma Cell Line | cell line=Hepa-1c1c7 | treatment=1 µM chromium | pulldown target=CTCF
SRX9311847	Cebpb	Blood	Macrophages	source_name=ChIP_CEBPb_C57_BMDM_24hIL4 | strain=C57BL/6J | treatment=IL-4 24h | cell type=BMDMs (bone marow-derived macrophages)
SRX9311895	Pparg	Blood	Macrophages	source_name=ChIP_PPARg_Egr2flfl_BMDM_24hIL4 | strain=Egr2 fl/fl | treatment=IL-4 24h | cell type=BMDMs (bone marow-derived macrophages)
SRX9311913	Cebpb	Blood	Macrophages	source_name=ChIP_CEBPb_LyzMCreEgr2flfl_BMDM_basal | strain=LyzM-Cre Egr2 fl/fl | cell type=BMDMs (bone marow-derived macrophages)
SRX9344868	Med1	Blood	RAW 264.7	source_name=RAW264.7 cells | cell type=Macrophage | strain=BALB/c | agent=LPS | time point=2 hours
SRX9432511	Myc	Blood	RAW 264.7	source_name=Bone marrow | cell line=Raw264.7 | cell type=Monocyte-derived cell line | treatment=Ibet only | time point=4 hours
SRX978687	Smarca4	Adipocyte	Brown adipose tissue	source_name=iBAT_D8_ISO_plus_BRG1 | cell=immortalized brown adipocytes (iBATs) | treatment=isoproterenol (1 µM, 2 hr)
