ERX371705	BRD4	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MDA231 cells BRD4 pulldown									
ERX371708	BCL11A	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MDA157 cells BCL11A pulldown									
ERX371709	BRD4	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MDA157 cells BRD4 pulldown									
ERX371712	BCL11A	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MCF10A cells BCL11A pulldown									
ERX371713	BRD4	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MCF10A cells BRD4 pulldown									
ERX371716	BRD4	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=T47D cell line									
ERX664188	CTCF	Blood	B cells														
ERX664189	CTCF	Blood	B cells														
ERX664190	CTCF	Blood	B cells														
ERX664191	CTCF	Blood	B cells														
ERX664192	CTCF	Blood	B cells														
ERX664193	CTCF	Blood	B cells														
SRX017709	KAT5	Blood	CD4+ T cells	source_name=CD4+ T cell	cell type=activated CD4+ T cell	sirna=n/a	treatment=n/a										
SRX019520	PPARG	Adipocyte	Adipose stromal cell	"source_name=hASC, ChIP"	cell type=Adipose stromal cell (ASC) adipocyte	chip epitope=PPARG (H-100)											
SRX019521	PPARG	Adipocyte	Adipose stromal cell	"source_name=hASC, ChIP"	cell type=Adipose stromal cell (ASC) adipocyte	chip epitope=PPARG (81B1)											
SRX021983	ATRX	Blood	Erythroblasts	source_name=Human Cultured Primary Erythroblasts	cell type=Human Cultured Primary Erythroblasts												
SRX022390	VDR	Blood	Lymphoblastoid cell line	"source_name=lymphoblastoid, GM10855, unstimulated"	cell line=GM10855	cell type=lymphoblastoid	treatment=unstimulated	antibody name=VDR (C-20)									
SRX022391	VDR	Blood	Lymphoblastoid cell line	"source_name=lymphoblastoid, GM10855, unstimulated"	cell line=GM10855	cell type=lymphoblastoid	treatment=unstimulated	antibody name=VDR (C-20)									
SRX022392	VDR	Blood	Lymphoblastoid cell line	"source_name=lymphoblastoid, GM10855, vitamin D"	cell line=GM10855	cell type=lymphoblastoid	treatment=calcitriol	antibody name=VDR (C-20)									
SRX022393	VDR	Blood	Lymphoblastoid cell line	"source_name=lymphoblastoid, GM10855, vitamin D"	cell line=GM10855	cell type=lymphoblastoid	treatment=calcitriol	antibody name=VDR (C-20)									
SRX022394	VDR	Blood	Lymphoblastoid cell line	"source_name=lymphoblastoid, GM10861, unstimulated"	cell line=GM10861	cell type=lymphoblastoid	treatment=unstimulated	antibody name=VDR (C-20)									
SRX022395	VDR	Blood	Lymphoblastoid cell line	"source_name=lymphoblastoid, GM10861, unstimulated"	cell line=GM10861	cell type=lymphoblastoid	treatment=unstimulated	antibody name=VDR (C-20)									
SRX022396	VDR	Blood	Lymphoblastoid cell line	"source_name=lymphoblastoid, GM10861, vitamin D"	cell line=GM10861	cell type=lymphoblastoid	treatment=calcitriol	antibody name=VDR (C-20)									
SRX022397	VDR	Blood	Lymphoblastoid cell line	"source_name=lymphoblastoid, GM10861, vitamin D"	cell line=GM10861	cell type=lymphoblastoid	treatment=calcitriol	antibody name=VDR (C-20)									
SRX026659	ERG	Blood	Hematopoietic cells	source_name=UAE (leukemic)	cell type=hematopoietic cell	disease state=leukemic	treatment=no	antibody lot/batch number=n/a (commercialization pending manuscript publication)									
SRX026660	ERG	Blood	Hematopoietic cells	source_name=UAE (leukemic)	cell type=hematopoietic cell	disease state=leukemic	treatment=5 hrs zinc	antibody lot/batch number=n/a (commercialization pending manuscript publication)									
SRX026720	CTCF	Pancreas	Pancreatic islets	source_name=Pancreatic islets	tissue=Pancreatic islets	sonication cycles=15											
SRX027401	E2F4	Adipocyte	Adipocytes	source_name=Adipocytes	strain=Fully differentiated	cell type=Mesenchymal stem cells-derived adipocytes	passages=less than 7	catalogue number=sc-1082X	lot number=A2909								
SRX027402	CEBPA	Adipocyte	Adipocytes	source_name=Adipocytes	strain=Fully differentiated	cell type=Mesenchymal stem cells-derived adipocytes	passages=less than 7	catalogue number=sc-9314X	lot number=F1609								
SRX027403	HSF1	Adipocyte	Adipocytes	source_name=Adipocytes	strain=Fully differentiated	cell type=Mesenchymal stem cells-derived adipocytes	passages=less than 7	catalogue number=sc-9144X	lot number=L0407								
SRX029433	GATA1	Blood	CD34+	source_name=Megakaryocytes	cell type=megakaryocytes cultured from cord blood CD34-positive cells												
SRX029434	GATA2	Blood	CD34+	source_name=Megakaryocytes	cell type=megakaryocytes cultured from cord blood CD34-positive cells												
SRX029435	RUNX1	Blood	CD34+	source_name=Megakaryocytes	cell type=megakaryocytes cultured from cord blood CD34-positive cells												
SRX029436	FLI1	Blood	CD34+	source_name=Megakaryocytes	cell type=megakaryocytes cultured from cord blood CD34-positive cells												
SRX029437	TAL1	Blood	CD34+	source_name=Megakaryocytes	cell type=megakaryocytes cultured from cord blood CD34-positive cells												
SRX037936	CTCF	Blood	CD36+	source_name=CD36	condition=BRG1 KD shLuc control												
SRX037937	CTCF	Blood	CD36+	source_name=CD36	condition=BRG1 RNAi KD												
SRX037938	TAL1	Blood	CD36+	source_name=CD36	condition=BRG1 RNAi KD												
SRX037939	TAL1	Blood	CD36+	source_name=CD36	condition=BRG1 KD shLuc control												
SRX037940	GATA1	Blood	CD36+	source_name=CD36	condition=BRG1 RNAi KD												
SRX037947	SMARCA4	Blood	CD36+	source_name=CD36	condition=CD36 WT												
SRX038910	SPI1	Blood	Hematopoietic Stem Cells	"source_name=Hematopoietic Stem &amp; Progenitor Cells, Pu.1 ChIP"	cell type=CD133+ expanded umbilical cord blood (UCB) cells	cell number=3 million	biological replicate=1										
SRX038911	SPI1	Blood	Hematopoietic Stem Cells	"source_name=Hematopoietic Stem &amp; Progenitor Cells, Pu.1 ChIP"	cell type=CD133+ expanded umbilical cord blood (UCB) cells	cell number=3 million	biological replicate=1										
SRX038912	IKZF1	Blood	Hematopoietic Stem Cells	"source_name=Hematopoietic Stem &amp; Progenitor Cells, Ikaros ChIP"	cell type=CD133+ expanded umbilical cord blood (UCB) cells	cell number=3 million	biological replicate=1										
SRX038913	IKZF1	Blood	Hematopoietic Stem Cells	"source_name=Hematopoietic Stem &amp; Progenitor Cells, Ikaros ChIP"	cell type=CD133+ expanded umbilical cord blood (UCB) cells	cell number=3 million	biological replicate=1										
SRX038914	MEIS1	Blood	Hematopoietic Stem Cells	"source_name=Hematopoietic Stem &amp; Progenitor Cells, MEIS1 ChIP"	cell type=CD133+ expanded umbilical cord blood (UCB) cells	cell number=3 million	biological replicate=1										
SRX038915	MEIS1	Blood	Hematopoietic Stem Cells	"source_name=Hematopoietic Stem &amp; Progenitor Cells, MEIS1 ChIP"	cell type=CD133+ expanded umbilical cord blood (UCB) cells	cell number=3 million	biological replicate=2										
SRX038916	MEIS1	Blood	Hematopoietic Stem Cells	"source_name=Hematopoietic Stem &amp; Progenitor Cells, MEIS1 ChIP"	cell type=CD133+ expanded umbilical cord blood (UCB) cells	cell number=3 million	biological replicate=1										
SRX041287	STAT1	Blood	T cells	source_name=T cell	cell type=T cell	treatment=IFNg											
SRX041289	STAT4	Blood	T cells	source_name=T cell	cell type=T cell	treatment=IL-12											
SRX041291	STAT5A	Blood	T cells	source_name=T cell	cell type=T cell	treatment=IL-2											
SRX041293	STAT5B	Blood	T cells	source_name=T cell	cell type=T cell	treatment=IL-2											
SRX062339	RUNX1	Blood	CD34+	source_name=Peripheral blood MNC CD34+ from non-t(8;21)AML patient	cell type=Peripheral blood MNC CD34+	target=RUNX1											
SRX093183	SPI1	Blood	Monocytes	source_name=Blood monocytes	cell type=Blood monocytes												
SRX093184	CEBPB	Blood	Monocytes	source_name=Blood monocytes	cell type=Blood monocytes												
SRX097071	SMAD1	Blood	CD34+	source_name=SMAD1 ChIP-seq CD34 ertyhroid BMP	cell type=Pro-erythroblasts												
SRX099629	EP300	Cardiovascular	Heart	source_name=HumanFetaltHeart_acCBP-p300	developmental stage=fetus (gestational week 16)	tissue=heart	catalog/batch number=4771/lot 2										
SRX100321	SMAD1	Blood	CD34+	source_name=SMAD1 ChIP-seq CD34 ertyhroid BMP	cell type=Pro-erythroblasts												
SRX10056752	MBD2	Liver	Liver	source_name=SAM treated NorHep cells-MBD2	tissue=liver	cell line=NorHep											
SRX10059518	CEBPD	Others	Fibroblasts	source_name=amnion fibroblasts	cell type=fibroblasts	treatment=treated with cortisol for 12 hours	tissue=amnion										
SRX10059519	CEBPD	Others	Fibroblasts	source_name=amnion fibroblasts	cell type=fibroblasts	treatment=treated with cortisol for 12 hours	tissue=amnion										
SRX10059520	CEBPD	Others	Fibroblasts	source_name=amnion fibroblasts	cell type=fibroblasts	treatment=treated with cortisol for 12 hours	tissue=amnion										
SRX10131663	CDK9	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	passage=&lt;10	ad5 mutant=DM E1A	treatment=none									
SRX10131665	NELFCD	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	passage=&lt;10	ad5 mutant=DM E1A	treatment=none									
SRX10131667	MLLT3	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	passage=&lt;10	ad5 mutant=DM E1A	treatment=none									
SRX10131669	MLLT1	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	passage=&lt;10	ad5 mutant=DM E1A	treatment=none									
SRX10131671	BRD4	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	passage=&lt;10	ad5 mutant=DM E1A	treatment=none									
SRX10131678	MLLT3	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	passage=&lt;10	ad5 mutant=wt E1A	treatment=DMSO									
SRX10131679	MLLT3	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	passage=&lt;10	ad5 mutant=wt E1A	treatment=A-485									
SRX10131680	MLLT1	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	passage=&lt;10	ad5 mutant=wt E1A	treatment=DMSO									
SRX10131681	MLLT1	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	passage=&lt;10	ad5 mutant=wt E1A	treatment=A-485									
SRX10131683	BRD4	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	passage=&lt;10	ad5 mutant=wt E1A	treatment=A-485									
SRX10142206	CTCF	Blood	B cells	source_name=Triple negative breast cancer B cell	cell type=Triple negative breast cancer B												
SRX10142207	CTCF	Blood	B cells	source_name=Triple negative breast cancer B cell	cell type=Triple negative breast cancer B												
SRX10145208	REL	Blood	CD4+ T cells	source_name=Freshly isolated naive CD4 T cells from a pool of three healthy donors PBMCs	diagnosis=Healthy	cell type=Naive CD4 T cells	treatment=PMA										
SRX10145211	REL	Blood	Naive B cells	source_name=Freshly isolated naive B cells from a pool of three healthy donors PBMCs	diagnosis=Healthy	cell type=Naive B cells	treatment=CD40L-IgM										
SRX10145212	REL	Blood	Naive B cells	source_name=Freshly isolated naive B cells from a pool of three healthy donors PBMCs	diagnosis=Healthy	cell type=Naive B cells	treatment=PMA										
SRX10206211	RAD21	Blood	Monocytes	source_name=SC cells	cell type=Human peripheral blood monocyte-derived SC cells												
SRX10206213	ZBTB3	Blood	Monocytes	source_name=SC cells	cell type=Human peripheral blood monocyte-derived SC cells												
SRX10206214	CTCF	Blood	Monocytes	source_name=SC cells	cell type=Human peripheral blood monocyte-derived SC cells												
SRX10212065	ATF4	Blood	CD4+ T cells	source_name=Stimulated human CD4 T-cells	tissue=Stimulated human CD4 T-cells	treatment=Cells cultured in RPMI for 72h	"cell type=Human CD4+ T-cells purified from PBMCs, stimulated with anti-CD3/anti-CD28 beads"										
SRX10212066	ATF4	Blood	CD4+ T cells	source_name=Stimulated human CD4 T-cells	tissue=Stimulated human CD4 T-cells	treatment=Cells cultured in low (20uM) arginine RPMI for 72h	"cell type=Human CD4+ T-cells purified from PBMCs, stimulated with anti-CD3/anti-CD28 beads"										
SRX10212067	ATF4	Blood	CD4+ T cells	source_name=Stimulated human CD4 T-cells	tissue=Stimulated human CD4 T-cells	treatment=Cells cultured in arginine-free RPMI for 72h	"cell type=Human CD4+ T-cells purified from PBMCs, stimulated with anti-CD3/anti-CD28 beads"										
SRX10212068	CEBPB	Blood	CD4+ T cells	source_name=Stimulated human CD4 T-cells	tissue=Stimulated human CD4 T-cells	treatment=Cells cultured in RPMI for 72h	"cell type=Human CD4+ T-cells purified from PBMCs, stimulated with anti-CD3/anti-CD28 beads"										
SRX10212069	CEBPB	Blood	CD4+ T cells	source_name=Stimulated human CD4 T-cells	tissue=Stimulated human CD4 T-cells	treatment=Cells cultured in low (20uM) arginine RPMI for 72h	"cell type=Human CD4+ T-cells purified from PBMCs, stimulated with anti-CD3/anti-CD28 beads"										
SRX10212070	CEBPB	Blood	CD4+ T cells	source_name=Stimulated human CD4 T-cells	tissue=Stimulated human CD4 T-cells	treatment=Cells cultured in arginine-free RPMI for 72h	"cell type=Human CD4+ T-cells purified from PBMCs, stimulated with anti-CD3/anti-CD28 beads"										
SRX1023790	SPI1	Blood	Macrophages	source_name=primary human macrophages	cell type=peripheral blood derived macrophage	treatment=GM-CSF (72h)											
SRX1023791	SPI1	Blood	Macrophages	source_name=primary human macrophages	cell type=peripheral blood derived macrophage	treatment=GM-CSF for 72h and additional 72h with GM-CSF + IFN-y											
SRX1023792	SPI1	Blood	Macrophages	source_name=primary human macrophages	cell type=peripheral blood derived macrophage	treatment=GM-CSF for 72h and additional 72h with GM-CSF + IL4											
SRX1023793	SPI1	Blood	Macrophages	source_name=primary human macrophages	cell type=peripheral blood derived macrophage	treatment=GM-CSF for 72h and additional 72h with GM-CSF + TNF-a + PGE2 + Pam3CSK4											
SRX1023794	SPI1	Blood	Macrophages	source_name=primary human macrophages	cell type=peripheral blood derived macrophage	treatment=GM-CSF (72h)											
SRX1023795	SPI1	Blood	Macrophages	source_name=primary human macrophages	cell type=peripheral blood derived macrophage	treatment=GM-CSF for 72h and additional 72h with GM-CSF + IFN-y											
SRX1023796	SPI1	Blood	Macrophages	source_name=primary human macrophages	cell type=peripheral blood derived macrophage	treatment=GM-CSF for 72h and additional 72h with GM-CSF + IL4											
SRX1023797	SPI1	Blood	Macrophages	source_name=primary human macrophages	cell type=peripheral blood derived macrophage	treatment=GM-CSF for 72h and additional 72h with GM-CSF + TNF-a + PGE2 + Pam3CSK4											
SRX1027440	NR3C1	Others	Mesenchymal stem cells	source_name=hMSC	cell type=Human Mesenchymal Stem Cells												
SRX1027441	ATF4	Others	Mesenchymal stem cells	source_name=hMSC	cell type=Human Mesenchymal Stem Cells												
SRX1027443	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC	cell type=Human Mesenchymal Stem Cells												
SRX103445	BRD4	Blood	CD4+ T cells	source_name=CD4+ T cells	cell type=CD4+ T cells	treatment=JQ1 treated											
SRX10399318	RBM39	Breast	Breast epithelium	source_name=PME CAPER	cell line=PME	tissue source=Breast	tissue type=Adherent Epithelial from Breast	cell type=Epithelial	passages=4th passage								
