DRX044425	CTCF	Blood	T cells	sample_name=003_ED_ChIP_CTCF_1	cell_line=ED cells	cell_type=T cell	replicate=biological replicate 1
DRX044426	CTCF	Blood	T cells	sample_name=004_ED_ChIP_CTCF_2	cell_line=ED cells	cell_type=T cell	replicate=biological replicate 2										
SRX017710	HDAC6	Blood	CD4+ T cells	source_name=CD4+ T cell	cell type=CD4+ T cell	sirna=n/a	treatment=n/a										
SRX018991	TP63	Epidermis	Keratinocytes	source_name=primary keratinocyte	tissue=epidermis	cell line=primary cells	cell type=keratinocytes										
SRX018992	TP63	Epidermis	Keratinocytes	source_name=primary keratinocyte	tissue=epidermis	cell line=primary cells	cell type=keratinocytes										
SRX019498	CTCF	Adipocyte	Adipose stromal cell	"source_name=hASC, ChIP"	cell type=Adipose stromal cell (ASC) pre-adipocyte	chip epitope=CTCF											
SRX019505	CTCF	Adipocyte	Adipose stromal cell	"source_name=hASC, ChIP"	cell type=Adipose stromal cell (ASC) adipocyte	chip epitope=CTCF											
SRX019512	CTCF	Adipocyte	Adipose stromal cell	"source_name=hASC, ChIP"	cell type=Adipose stromal cell (ASC) adipocyte	chip epitope=CTCF											
SRX019519	CTCF	Adipocyte	Adipose stromal cell	"source_name=hASC, ChIP"	cell type=Adipose stromal cell (ASC) adipocyte	chip epitope=CTCF											
SRX019786	TP63	Epidermis	Keratinocytes	source_name=primary keratinocyte	tissue=epidermis	cell line=primary cells	cell type=keratinocytes										
SRX026653	ERG	Blood	CD34 Hematopoietic stem cells	source_name=CD34+ nr29 (normal)	cell type=hematopoietic cell	disease state=normal	treatment=no	antibody lot/batch number=C20									
SRX026719	CTCF	Pancreas	Pancreatic islets	source_name=Pancreatic islets	tissue=Pancreatic islets	sonication cycles=15											
SRX029315	GABPA	Blood	CD34 Hematopoietic stem cells	source_name=CD34+CD133+ hematopoietic progenitor cells (HPCs)	cell type=CD34+CD133+ hematopoietic progenitor cells (HPCs)												
SRX029598	TAL1	Blood	CD34 Hematopoietic stem cells	source_name=Primary pro-erythroblasts derived ex vivo from CD34+ multipotential hematopoietic progenitors	cell type=Pro-erythroblasts												
SRX032595	HMGN1	Blood	CD4+ T cells	"source_name=CD4+ T cells, HMGN1 ChIP"	cell type=CD4+ T cells												
SRX032596	YY1	Blood	CD4+ T cells	"source_name=CD4+ T cells, YY1 ChIP"	cell type=CD4+ T cells												
SRX032874	FOXA2	Liver	Liver	source_name=Homogenized Human Liver	cell type=Liver tissue												
SRX032875	FOXA2	Liver	Liver	source_name=Homogenized Human Liver	cell type=Liver tissue												
SRX032876	FOXA2	Liver	Liver	source_name=Homogenized Human Liver	cell type=Liver tissue												
SRX032877	FOXA2	Liver	Liver	source_name=Homogenized Human Liver	cell type=Liver tissue												
SRX037935	CTCF	Blood	CD34+	source_name=CD34	condition=CD34 WT												
SRX037941	GATA1	Blood	CD36+	source_name=CD36	condition=BRG1 KD shLuc control												
SRX037946	SMARCA4	Blood	CD34+	source_name=CD34	condition=CD34 WT												
SRX038908	TAL1	Blood	Hematopoietic Stem Cells	"source_name=Hematopoietic Stem &amp; Progenitor Cells, TAL1 ChIP"	cell type=CD133+ expanded umbilical cord blood (UCB) cells	cell number=3 million	biological replicate=2										
SRX038909	TAL1	Blood	Hematopoietic Stem Cells	"source_name=Hematopoietic Stem &amp; Progenitor Cells, TAL1 ChIP"	cell type=CD133+ expanded umbilical cord blood (UCB) cells	cell number=3 million	biological replicate=2										
SRX041286	STAT1	Blood	T cells	source_name=T cell	cell type=T cell	treatment=control											
SRX041288	STAT4	Blood	T cells	source_name=T cell	cell type=T cell	treatment=control											
SRX041290	STAT5A	Blood	T cells	source_name=T cell	cell type=T cell	treatment=control											
SRX041292	STAT5B	Blood	T cells	source_name=T cell	cell type=T cell	treatment=control											
SRX058249	TAL1	Blood	CD34+	source_name=CD34	condition=CD34 WT												
SRX067535	CTCF	Bone	Osteobl	source_name=Osteobl	lab description=Bernstein - Broad Institute	datatype=ChipSeq	datatype description=Chromatin IP Sequencing	cell organism=human	cell description=osteoblasts (NHOst)	cell lineage=mesoderm	cell sex=U	treatment=None	treatment description=No special treatment or protocol applies	control=std	control description=Standard input signal for most experiments.	controlid=wgEncodeEH001056	"replicate=1,2"
SRX079858	NFKBIA	Epidermis	Keratinocytes	"source_name=primary epidermal keratinocytes; normal, human neonatal foreskin (origin: ATCCA® ref. PCS-200-010)"	cell type=primary epidermal keratinocyte	cell differentiation protocol=normal undifferentiated keratinocytes											
SRX092313	TBX21	Blood	Th1 Cells	source_name=Th1 cells	cell type=Th1	cell number=100000000											
SRX092314	GATA3	Blood	Th1 Cells	source_name=Th1 cells	cell type=Th1	cell number=100000000											
SRX092315	GATA3	Blood	Th2 Cells	source_name=Th2 cells	cell type=Th2	cell number=100000000											
SRX093189	SPI1	Blood	Macrophages	source_name=Monocyte-derived macrophage	cell type=Monocyte-derived macrophage												
SRX093190	CEBPB	Blood	Macrophages	source_name=Monocyte-derived macrophage	cell type=Monocyte-derived macrophage												
SRX093191	EGR2	Blood	Macrophages	source_name=Monocyte-derived macrophage	cell type=Monocyte-derived macrophage												
SRX093192	EGR2	Blood	Macrophages	source_name=Monocyte-derived macrophage	cell type=Monocyte-derived macrophage												
SRX097067	GATA1	Blood	CD34+	source_name=GATA1 ChIP-seq CD34 erythroid BIO	cell type=Pro-erythroblasts												
SRX097068	GATA1	Blood	CD34+	source_name=GATA1 ChIP-seq CD34 erythroid BIO	cell type=Pro-erythroblasts												
SRX097069	GATA1	Blood	CD34+	source_name=GATA1 ChIP-seq CD34 erythroid BMP	cell type=Pro-erythroblasts												
SRX097070	GATA1	Blood	CD34+	source_name=GATA1 ChIP-seq CD34 erythroid BMP	cell type=Pro-erythroblasts												
SRX097072	SMAD1	Blood	CD34 Hematopoietic stem cells	source_name=SMAD1 ChIP-seq CD34+ progenitors BMP	cell type=Hematopoietic Stem &amp; Progenitor Cells												
SRX097073	SMAD1	Blood	CD34 Hematopoietic stem cells	source_name=SMAD1 ChIP-seq CD34+ progenitors BMP	cell type=Hematopoietic Stem &amp; Progenitor Cells												
SRX097074	TCF7L2	Blood	CD34 Hematopoietic stem cells	source_name=TCF7L2 ChIP-seq CD34 progenitors BIO	cell type=Hematopoietic Stem &amp; Progenitor Cells												
SRX097075	TCF7L2	Blood	CD34 Hematopoietic stem cells	source_name=TCF7L2 ChIP-seq CD34 progenitors BIO	cell type=Hematopoietic Stem &amp; Progenitor Cells												
SRX099053	TP63	Epidermis	Keratinocytes	source_name=p63_IP	cell type=Human neonatal foreskin keratinocytes												
SRX099055	TP63	Epidermis	Keratinocytes	source_name=p63_IP	cell type=Human neonatal foreskin keratinocytes												
SRX099628	EP300	Cardiovascular	Heart	source_name=HumanAdultHeart_acCBP-p300	gender=male	developmental stage=adult (45yr)	tissue=heart	catalog/batch number=4771/lot 2									
SRX100320	GATA2	Blood	CD34 Hematopoietic stem cells	source_name=GATA2 ChIP-seq CD34+ progenitors BMP	cell type=Hematopoietic Stem &amp; Progenitor Cells												
SRX10056751	MBD2	Liver	Liver	source_name=NorHep cells-MBD2	tissue=liver	cell line=NorHep											
SRX10059515	CEBPD	Others	Fibroblasts	source_name=amnion fibroblasts	cell type=fibroblasts	treatment=untreated	tissue=amnion										
SRX10059516	CEBPD	Others	Fibroblasts	source_name=amnion fibroblasts	cell type=fibroblasts	treatment=untreated	tissue=amnion										
SRX10059517	CEBPD	Others	Fibroblasts	source_name=amnion fibroblasts	cell type=fibroblasts	treatment=untreated	tissue=amnion										
SRX1012536	FOXO1	Blood	B cells	source_name=germinal center B cells from tonsil tissues	tissue=Germinal center B cells												
SRX1012537	FOXO1	Blood	B cells	source_name=germinal center B cells from tonsil tissues	tissue=Germinal center B cells												
SRX1012538	BCL6	Blood	B cells	source_name=germinal center B cells from tonsil tissues	tissue=Germinal center B cells												
SRX1012539	BCL6	Blood	B cells	source_name=germinal center B cells from tonsil tissues	tissue=Germinal center B cells												
SRX10131662	CDK9	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	passage=&lt;10	ad5 mutant=wt E1A	treatment=none									
SRX10131664	NELFCD	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	passage=&lt;10	ad5 mutant=wt E1A	treatment=none									
SRX10131666	MLLT3	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	passage=&lt;10	ad5 mutant=wt E1A	treatment=none									
SRX10131668	MLLT1	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	passage=&lt;10	ad5 mutant=wt E1A	treatment=none									
SRX10131670	BRD4	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	passage=&lt;10	ad5 mutant=wt E1A	treatment=none									
SRX10131682	BRD4	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	passage=&lt;10	ad5 mutant=wt E1A	treatment=DMSO									
SRX10142196	CTCF	Breast	Mammary epithelial cells	source_name=human mammary epithelial cell	cell type=Primary Mammary Epithelial Cell												
SRX10142197	CTCF	Breast	Mammary epithelial cells	source_name=human mammary epithelial cell	cell type=Primary Mammary Epithelial Cell												
SRX10142198	CTCF	Breast	Breast luminal cells	source_name=Luminal A cell	cell type=Luminal A												
SRX10142199	CTCF	Breast	Breast luminal cells	source_name=Luminal A cell	cell type=Luminal A												
SRX10142200	CTCF	Breast	Breast luminal cells	source_name=Luminal B cell	cell type=Luminal B												
SRX10142201	CTCF	Breast	Breast luminal cells	source_name=Luminal B cell	cell type=Luminal B												
SRX10145207	REL	Blood	CD4+ T cells	source_name=Freshly isolated naive CD4 T cells from a pool of three healthy donors PBMCs	diagnosis=Healthy	cell type=Naive CD4 T cells	treatment=NS										
SRX10145210	REL	Blood	Naive B cells	source_name=Freshly isolated naive B cells from a pool of three healthy donors PBMCs	diagnosis=Healthy	cell type=Naive B cells	treatment=NS										
SRX1027437	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC	cell type=Human Mesenchymal Stem Cells												
SRX1027438	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC	cell type=Human Mesenchymal Stem Cells												
SRX1027439	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC	cell type=Human Mesenchymal Stem Cells												
SRX1027444	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC	cell type=Human Mesenchymal Stem Cells												
SRX1027445	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC	cell type=Human Mesenchymal Stem Cells												
SRX1027446	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC	cell type=Human Mesenchymal Stem Cells												
SRX1027447	ATF4	Others	Mesenchymal stem cells	source_name=hMSC	cell type=Human Mesenchymal Stem Cells												
SRX1027448	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC	cell type=Human Mesenchymal Stem Cells												
SRX1027449	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC	cell type=Human Mesenchymal Stem Cells												
SRX1027450	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC	cell type=Human Mesenchymal Stem Cells												
SRX1027451	ATF4	Others	Mesenchymal stem cells	source_name=hMSC	cell type=Human Mesenchymal Stem Cells												
SRX1027452	ATF4	Others	Mesenchymal stem cells	source_name=hMSC	cell type=Human Mesenchymal Stem Cells												
SRX103444	BRD4	Blood	CD4+ T cells	source_name=CD4+ T cells	cell type=CD4+ T cells	treatment=untreated											
SRX1036365	RUNX1	Blood	Peripheral blood stem cells	source_name=CD34+ PBSC from donor	cell type=PBSC												
SRX10399320	KMT2A	Breast	Breast epithelium	source_name=PME MLL1	cell line=PME	tissue source=Breast	tissue type=Adherent Epithelial from Breast	cell type=Epithelial	passages=4th passage								
SRX10399321	KMT2A	Breast	Breast epithelium	source_name=PME MLL1	cell line=PME	tissue source=Breast	tissue type=Adherent Epithelial from Breast	cell type=Epithelial	passages=4th passage								
SRX1042046	BPTF	Blood	Erythroid Cells	source_name=R3/R4 Erythroid cells	cell type=R3/R4 Erythroid cells	antibody info=Polyclonal rabbit antibody against chicken BPT fragment (aa2775-2789)											
SRX1042048	SETD1A	Blood	Erythroid Cells	source_name=R3/R4 Erythroid cells	cell type=R3/R4 Erythroid cells	antibody info=Bethyl Laboratory Cat#: A300-289A											
SRX1042049	USF1	Blood	Erythroid Cells	source_name=R3/R4 Erythroid cells	cell type=R3/R4 Erythroid cells	antibody info=Santa Cruz Cat#: H-86x											
SRX1042050	USF2	Blood	Erythroid Cells	source_name=R3/R4 Erythroid cells	cell type=R3/R4 Erythroid cells	antibody info=Santa Cruz Cat#: C-20x											
SRX10475459	CTCF	Digestive tract	Colon	sample_type=tissue	tissue=transverse colon	dev_stage=adult	age=51 year	donor ID=ENCDO271OUW									
SRX10475460	CTCF	Digestive tract	Colon	sample_type=tissue	tissue=transverse colon	dev_stage=adult	age=51 year	donor ID=ENCDO271OUW									
SRX10475461	CTCF	Digestive tract	Colon	sample_type=tissue	tissue=transverse colon	dev_stage=adult	age=51 year	donor ID=ENCDO271OUW									
SRX10475462	CTCF	Digestive tract	Colon	sample_type=tissue	tissue=transverse colon	dev_stage=adult	age=51 year	donor ID=ENCDO271OUW									
SRX10476638	CTCF	Neural	Tibial Nerve	dev_stage=adult	tissue=tibial nerve	sample_type=tissue	age=53 year	donor ID=ENCDO793LXB									
SRX10476782	CTCF	Muscle	Gastrocnemius medialis	sample_type=tissue	tissue=gastrocnemius medialis	dev_stage=adult	age=51 year	donor ID=ENCDO271OUW									
SRX10476783	CTCF	Muscle	Gastrocnemius medialis	sample_type=tissue	tissue=gastrocnemius medialis	dev_stage=adult	age=51 year	donor ID=ENCDO271OUW									
SRX10478144	CTCF	Cardiovascular	Left ventricle	sample type=tissue	tissue=heart left ventricle	health state=DM: no; HTN: no; CAD: no	dev_stage=adult	age=46 year	donor ID=ENCDO411EVD								
SRX10478145	CTCF	Cardiovascular	Left ventricle	sample type=tissue	tissue=heart left ventricle	health state=DM: no; HTN: no; CAD: no	dev_stage=adult	age=46 year	donor ID=ENCDO411EVD								
SRX1048945	PGR	Uterus	Endometrial stromal cells	source_name=endometrial stromal cells	cell type=primary cells	passages=2-4	"health status=healthy, proliferative phase"										
SRX1048946	FOSL2	Uterus	Endometrial stromal cells	source_name=endometrial stromal cells	cell type=primary cells	passages=2-4	"health status=healthy, proliferative phase"										
SRX1048948	FOXO1	Uterus	Endometrial stromal cells	source_name=endometrial stromal cells	cell type=primary cells	passages=2-4	"health status=healthy, proliferative phase"										
SRX105186	TP63	Epidermis	Keratinocytes	source_name=keratinocytes	cell type=neonatal keratinocytes	differentiation stage=progenitor											
SRX105187	TP63	Epidermis	Keratinocytes	source_name=keratinocytes	cell type=neonatal keratinocytes	differentiation stage=differentiated											
SRX10644687	RUNX2	Blood	Natural Killer T-Cells	source_name=NK_ChIP	cell type=Peripheral blood NK cell	gating=CD56+ CD3- CD19-											
SRX10697702	STAT5A	Blood	Monocytes-CD14+	source_name=Buffy coat	cell type=Human CD14+ monocytes	disease state=Healthy	cell subtype=CD127high										
SRX10852977	MED1	Blood	T cells	source_name=primary T cells	treatment=unstimulated	genotype=AAVS1-null											
SRX10852978	MED1	Blood	T cells	source_name=primary T cells	treatment=unstimulated	genotype=MED12-null											
SRX10852979	MED1	Blood	T cells	source_name=primary T cells	treatment=unstimulated	genotype=AAVS1-null											
SRX10852980	MED1	Blood	T cells	source_name=primary T cells	treatment=unstimulated	genotype=MED12-null											
SRX10852981	MED1	Blood	T cells	source_name=primary T cells	treatment=unstimulated	genotype=AAVS1-null											
SRX10852982	MED1	Blood	T cells	source_name=primary T cells	treatment=unstimulated	genotype=MED12-null											
SRX10852983	MED1	Blood	T cells	source_name=primary T cells	treatment=stimulated	genotype=AAVS1-null											
SRX10852984	MED1	Blood	T cells	source_name=primary T cells	treatment=stimulated	genotype=MED12-null											
SRX10852985	MED1	Blood	T cells	source_name=primary T cells	treatment=stimulated	genotype=AAVS1-null											
SRX10852986	MED1	Blood	T cells	source_name=primary T cells	treatment=stimulated	genotype=MED12-null											
SRX10852987	MED1	Blood	T cells	source_name=primary T cells	treatment=stimulated	genotype=AAVS1-null											
SRX10852988	MED1	Blood	T cells	source_name=primary T cells	treatment=stimulated	genotype=MED12-null											
SRX10852989	MED12	Blood	T cells	source_name=primary T cells	treatment=unstimulated	genotype=AAVS1-null											
SRX10852990	MED12	Blood	T cells	source_name=primary T cells	treatment=unstimulated	genotype=AAVS1-null											
SRX10852991	MED12	Blood	T cells	source_name=primary T cells	treatment=unstimulated	genotype=AAVS1-null											
SRX1089824	GATA1	Blood	Hematopoietic Stem Cells	source_name=Adult hematopoietic stem/progenitor cells (HSPCs)	tissue=Adult HSPCs (A0)	developmental stage/tissue=adult bone marrow	cell type=primary adult CD34+ HSPCs (A0)										
SRX1089827	TAL1	Blood	Hematopoietic Stem Cells	source_name=Adult hematopoietic stem/progenitor cells (HSPCs)	tissue=Adult HSPCs (A0)	developmental stage/tissue=adult bone marrow	cell type=primary adult CD34+ HSPCs (A0)										
SRX1089830	NFE2	Blood	Hematopoietic Stem Cells	source_name=Adult hematopoietic stem/progenitor cells (HSPCs)	tissue=Adult HSPCs (A0)	developmental stage/tissue=adult bone marrow	cell type=primary adult CD34+ HSPCs (A0)										
SRX1089831	IRF2	Blood	Hematopoietic Stem Cells	source_name=Adult hematopoietic stem/progenitor cells (HSPCs)	tissue=Adult HSPCs (A0)	developmental stage/tissue=adult bone marrow	cell type=primary adult CD34+ HSPCs (A0)										
SRX1089833	SPI1	Blood	Hematopoietic Stem Cells	source_name=Adult hematopoietic stem/progenitor cells (HSPCs)	tissue=Adult HSPCs (A0)	developmental stage/tissue=adult bone marrow	cell type=primary adult CD34+ HSPCs (A0)										
SRX1089835	RUNX1	Blood	Hematopoietic Stem Cells	source_name=Adult hematopoietic stem/progenitor cells (HSPCs)	tissue=Adult HSPCs (A0)	developmental stage/tissue=adult bone marrow	cell type=primary adult CD34+ HSPCs (A0)										
SRX1089836	GATA2	Blood	Erythroblasts	source_name=Adult erythroid progenitor cells (ProEs)	tissue=Adult ProEs (A5)	developmental stage/tissue=adult bone marrow	cell type=primary adult ProEs (A5)										
SRX10949091	CTCF	Muscle	Muscles	source_name=muscle cells	disease=Control												
SRX10949092	CTCF	Muscle	Muscles	source_name=muscle cells	disease=Control												
SRX10976123	CTCF	Uterus	Uterus	sample_type=tissue	tissue=uterus	dev_stage=adult	age=51 year	donor ID=ENCDO271OUW									
SRX10976124	CTCF	Uterus	Uterus	sample_type=tissue	tissue=uterus	dev_stage=adult	age=51 year	donor ID=ENCDO271OUW									
SRX10976367	CTCF	Uterus	Vagina	sample_type=tissue	tissue=vagina	dev_stage=adult	age=51 year	donor ID=ENCDO271OUW									
SRX10976368	CTCF	Uterus	Vagina	sample_type=tissue	tissue=vagina	dev_stage=adult	age=51 year	donor ID=ENCDO271OUW									
SRX10976426	EZH2	Epidermis	Dermal fibroblast	age=53 year	donor ID=ENCDO336AAA	dev stage=adult	sample type=primary cell	cell type=fibroblast of arm									
SRX10976427	EZH2	Epidermis	Dermal fibroblast	age=53 year	donor ID=ENCDO336AAA	dev stage=adult	sample type=primary cell	cell type=fibroblast of arm									
SRX10976477	EZH2	Epidermis	Dermal fibroblast	age=53 year	donor ID=ENCDO336AAA	dev stage=adult	sample type=primary cell	cell type=fibroblast of arm									
SRX10976478	EZH2	Epidermis	Dermal fibroblast	age=53 year	donor ID=ENCDO336AAA	dev stage=adult	sample type=primary cell	cell type=fibroblast of arm									
SRX10976491	CTCF	Others	Thyroid Gland	sample_type=tissue	tissue=thyroid gland	dev_stage=adult	age=51 year	donor ID=ENCDO271OUW									
SRX10976492	CTCF	Others	Thyroid Gland	sample_type=tissue	tissue=thyroid gland	dev_stage=adult	age=51 year	donor ID=ENCDO271OUW									
SRX10976701	CTCF	Lung	Lung	sample type=tissue	tissue=lower lobe of left lung	health state=DM: no; HTN: yes; CAD: no; lungs with severe emphysema	dev_stage=adult	age=60 year	donor ID=ENCDO520EJG								
SRX10976702	CTCF	Lung	Lung	sample type=tissue	tissue=lower lobe of left lung	health state=DM: no; HTN: yes; CAD: no; lungs with severe emphysema	dev_stage=adult	age=60 year	donor ID=ENCDO520EJG								
SRX10976744	CTCF	Cardiovascular	Left ventricle	sample_type=tissue	tissue=heart left ventricle	dev_stage=adult	age=51 year	donor ID=ENCDO271OUW									
SRX10976745	CTCF	Cardiovascular	Left ventricle	sample_type=tissue	tissue=heart left ventricle	dev_stage=adult	age=51 year	donor ID=ENCDO271OUW									
SRX10976835	CTCF	Pancreas	Pancreas	sample type=tissue	tissue=pancreas	health state=DM: no; HTN: no; CAD: no	dev_stage=adult	age=41 year	donor ID=ENCDO575WHY								
SRX10976836	CTCF	Pancreas	Pancreas	sample type=tissue	tissue=pancreas	health state=DM: no; HTN: no; CAD: no	dev_stage=adult	age=41 year	donor ID=ENCDO575WHY								
SRX10976905	CTCF	Cardiovascular	Right ventricle	sample type=tissue	tissue=heart right ventricle	health state=DM: no; HTN: no; CAD: no	dev_stage=adult	age=46 year	donor ID=ENCDO411EVD								
SRX10976906	CTCF	Cardiovascular	Right ventricle	sample type=tissue	tissue=heart right ventricle	health state=DM: no; HTN: no; CAD: no	dev_stage=adult	age=46 year	donor ID=ENCDO411EVD								
SRX10977245	CTCF	Digestive tract	Stomach	sample_type=tissue	tissue=stomach	dev_stage=adult	age=51 year	donor ID=ENCDO271OUW									
SRX10977246	CTCF	Digestive tract	Stomach	sample_type=tissue	tissue=stomach	dev_stage=adult	age=51 year	donor ID=ENCDO271OUW									
SRX10977274	CTCF	Epidermis	Foreskin	sample_type=primary cell	cell type=foreskin keratinocyte	dev_stage=newborn	age=2-4 day	donor ID=ENCDO005EGE	health state=Healthy	passage number=2							
SRX10977275	CTCF	Epidermis	Foreskin	sample_type=primary cell	cell type=foreskin keratinocyte	dev_stage=newborn	age=2-4 day	donor ID=ENCDO615NVN	health state=Healthy	passage number=2							
SRX10977292	CTCF	Others	Adrenal Glands	sample_type=tissue	tissue=adrenal gland	dev_stage=adult	age=51 year	donor ID=ENCDO271OUW									
SRX10977293	CTCF	Others	Adrenal Glands	sample_type=tissue	tissue=adrenal gland	dev_stage=adult	age=51 year	donor ID=ENCDO271OUW									
SRX11120905	RAD21	Blood	B cells	source_name=Bcell	cell type=Bcell	treatment=Non-treatment											
SRX11120906	RAD21	Others	Fibroblasts	source_name=Healthy Fibroblast	cell type=Healthy Fibroblast	treatment=Non-treatment											
SRX11120934	AFF4	Others	Fibroblasts	source_name=Healthy Fibroblast	cell type=Healthy Fibroblast	treatment=Non-treatment											
SRX11120950	NIPBL	Others	Fibroblasts	source_name=Healthy Fibroblast	cell type=Healthy Fibroblast	treatment=Non-treatment											
SRX11120958	RAD21	Others	Fibroblasts	source_name=CHOPS Fibroblast	cell type=CHOPS Fibroblast	treatment=Non-treatment											
SRX11157738	AAV Rep68	Others	Epithelial cells	source_name=Epithelial	tissue=Kidney	cell type=Epithelial											
SRX11157739	AAV Rep68	Others	Epithelial cells	source_name=Epithelial	tissue=Kidney	cell type=Epithelial											
SRX11157761	AAV Rep68	Others	Epithelial cells	source_name=Epithelial	tissue=Kidney	cell type=Epithelial											
SRX11157762	AAV Rep68	Others	Epithelial cells	source_name=Epithelial	tissue=Kidney	cell type=Epithelial											
SRX11157763	AAV Rep68	Others	Epithelial cells	source_name=Epithelial	tissue=Kidney	cell type=Epithelial											
SRX11157764	AAV Rep68	Others	Epithelial cells	source_name=Epithelial	tissue=Kidney	cell type=Epithelial											
SRX11412423	1-Dec	Lung	Bronchial epithelial cells	source_name=“OFF” HBECs	cell type=human bronchial epithelial cells	sample type=OFF											
SRX11515984	SMARCA4	Cardiovascular	Aortic smooth muscle cells	source_name=Human aortic smooth muscle cells	cell type=Primary vascular smooth muscle cells	passages=5	treatment=transfected with control siRNA	genotype=control									
SRX11646086	AR	Prostate	Prostate	source_name=Normal Prostate	tissue=Normal Prostate	gleason score=4+5	tissue block size=5 x 4 mm	treatment=Untreated	ancestry=African								
SRX11646089	AR	Prostate	Prostate	source_name=Normal Prostate	tissue=Normal Prostate	gleason score=-	tissue block size=5 x 4 mm	treatment=Untreated	ancestry=African								
