ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
SRX3582922,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=12 wk High Fat Diet,LLM
SRX3601924,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. cell type=Primary BMDM; strain=C57BI/6 (Harlan Laboratories) indicates wild-type and age 8-10 weeks is normal physiological condition,LLM
SRX3858835,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. age=Postnatal day 0, genotype=Control",LLM
SRX392764,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell type=haftl derived C10 cells, source_name=Haftl pre-B cells",LLM
SRX4178770,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=wild-type and cell_line=BMDM which indicates an immortalized or modified cell line,LLM
SRX4325335,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. Cell type is Liver and it's a specific cell line with no modification indicators,LLM
SRX4348502,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=IRF9WT, condition=IFNaIL2",LLM
SRX4895097,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell_line=CH12, lymphoma cell line",LLM
SRX5689484,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. isolated from Foxp3Thy1.1/Rosa-Cas9 mice, genotype/variation=Foxp3Thy1.1/Rosa-Cas9",LLM
SRX6095535,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=M1-IKO,LLM
SRX6417441,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=WT, strain=C57B6/CR, treatment=NR",LLM
SRX661408,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. strain=back-crossed to the BALB/c, genotype/variation=GRdim",LLM
SRX6924490,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype/variation=tetYAP, strain background=C57BL/6",LLM
SRX7368531,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype=Wild type, source_name=ChIP WT CD40/IL4 OBF1 rep1",LLM
SRX7368548,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=OBF1KO, cell type=CD19+ splenic B cells",LLM
SRX745826,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell_type_class=Blood, develomental stage=E14.5",LLM
SRX7726481,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell_type_class=Blood, cell_type=Natural killer cells, surface marker=CD3e-NKp46+",LLM
SRX7902429,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. age=Postnatal day 7, genotype=wild type",LLM
SRX8241996,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype=Wild type, cell isolation=Primary isolated cells",LLM
SRX8725650,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell_line=Hepa-1c1c7, source_name=Mouse Hepatoma Cell Line",LLM
SRX8994289,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. cells=Mouse splenic B cells-resting, genotype/variation=WT",LLM
SRX9311847,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell_type_class=Blood, cell_line=BMDM (bone marrow-derived macrophage)",LLM
SRX9311895,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell_type_class=Blood, cell_type=Macrophages, source_name=ChIP_PPARg_Egr2flfl_BMDM_24hIL4",LLM
SRX9311913,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell_line=BMDMs (bone marrow-derived macrophages), source_name=ChIP_CEBPb_LyzMCreEgr2flfl_BMDM_basal, cell type=BMDMs",LLM
SRX9344868,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell_line=RAW 264.7, macrophage cell line",LLM
SRX9432511,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell_line=Raw264.7, cell type=Monocyte-derived cell line",LLM
SRX978687,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell_line=immortalized brown adipocytes (iBATs), treatment=isoproterenol",LLM
