Experiment,source_name,tissue,chip_antibody,Library Name,cell_type,cell_line,Individual,isolate,AGE,genotype,Experimental_Factor:_immunoprecipitate (exp),Developmental_stage,Organism_part,disease,sample_type,Experimental_Factor:_compound (exp),donor_id,metastatic_site,dev_stage,health_state,treatment,disease_stage,Source,Experimental_Factor:_dose (exp),disease_state,hbv_genotype,antibody,ChIP,chip_antibody_vendor,replicate,genotype/variation,agent,genotype/antibody,Sample_id,strain,cell_description,infection,controlid,datatype_description,datatype,treatment_description,vendor,tissue_type,read_name_barcode_proc_directive (run),antibody_antibodydescription,antibody_targetdescription,antibody_vendorid,antibody_vendorname,labexpid,Protocol_description,protocol,cell_lineage,cell_sex,replicate_description,bio_material,Development_stage,cell_karyotype,developmental_stage/tissue,tranduced_with,treated_with,Experimental_Factor:_genotype (exp),cell_organism,cell,chip_target,Experimental_Factor:_sex (exp),replication,target,Experimental_Factor:_cell_line (exp),chip-antibody,clinical_history,Experimental_Factor:_cell_type (exp),geographic_location_(country_and/or_sea),softwareversion,specimen_with_known_storage_state,treatment/condition,tumor_stage,tumour_stage,type,Experimental_Factor:_OrganismPart (exp),lab_description,actual_read_length (run),affectedstatus,Experimental_Factor:_KNOCK_DOWN (exp),tag,antibodies,catalog_number,chip_antibody_catalog,chip_antibody_provider,Experimental_Factor:_developmental_stage (exp)
SRX1123867,ChIP-seq_TTC549_NoDox,,"H3K27ac (Cell Signaling Technology\\, D5E4\\, 8173)",,liver rhabdoid tumor derived cell line,TTC549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,untreated,,,,,,,,,,,,,,
SRX1123868,ChIP-seq_TTC549_Dox,,"SMARCC1/BAF155 (Santa Cruz\\, R-8\\, sc-9746)",,liver rhabdoid tumor derived cell line,TTC549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doxycycline induced SMARCB1 reexpresion,,,,,,,,,,,,,,
SRX1123869,ChIP-seq_TTC549_Dox,,"SMARCA4/BRG1 (Abcam\\, EPNCIR111A\\, ab110641)",,liver rhabdoid tumor derived cell line,TTC549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doxycycline induced SMARCB1 reexpresion,,,,,,,,,,,,,,
SRX1123870,ChIP-seq_TTC549_Dox,,"H3K4me1 (Abcam\\, ab8895)",,liver rhabdoid tumor derived cell line,TTC549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doxycycline induced SMARCB1 reexpresion,,,,,,,,,,,,,,
SRX1123871,ChIP-seq_TTC549_Dox,,"H3K4me3 (Millipore\\, 07-473)",,liver rhabdoid tumor derived cell line,TTC549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doxycycline induced SMARCB1 reexpresion,,,,,,,,,,,,,,
SRX1123872,ChIP-seq_TTC549_Dox,,"H3K27ac (Cell Signaling Technology\\, D5E4\\, 8173)",,liver rhabdoid tumor derived cell line,TTC549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doxycycline induced SMARCB1 reexpresion,,,,,,,,,,,,,,
SRX1123879,ChIP-seq_TTC549_NoDox,,,,liver rhabdoid tumor derived cell line,TTC549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,untreated,,,,,,,,,,,,,,
SRX1123880,ChIP-seq_TTC549_Dox,,,,liver rhabdoid tumor derived cell line,TTC549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doxycycline induced SMARCB1 reexpresion,,,,,,,,,,,,,,
SRX190181,,,,GSM1010725: HudsonAlpha_ChipSeq_A549_FOXA1_(SC-101058)_EtOH_0.02pct_v041610.2,,,,,,,,,,,,,,,,,EtOH_0.02pct,,,,,,FOXA1_(SC-101058),,,"1\\,2",,,,,,"epithelial cell line derived from a lung carcinoma tissue. (PMID: 175022)\\, ""This line was initiated in 1972 by D.J. Giard\\, et al. through explant culture of lung carcinomatous tissue from a 58-year-old caucasian male."" - ATCC\\, newly promoted to tier 2:...",,"SL3251\\,SL2665",Chromatin IP Sequencing,ChipSeq,1 h with 0.02% Ethanol (Myers),,,,"Mouse monoclonal IgG\\, raised against recombinant HNF-3a of human origin. Antibody Target:  FOXA1","This gene encodes a member of the forkhead class of DNA-binding proteins.  These hepatocyte nuclear factors are transcriptional activators for liver-specific transcripts such as albumin and transthyretin\\, and they also interact with chromatin. Similar ...",sc-101058,Santa Cruz Biotechnology,"SL3251\\,SL2665","2x10^7 cells\\, fragmentation by probe-in sonicator\\, one 15-cycle round of PCR (Myers)",v041610.2,endoderm,M,,,,cancer,,,,,human,A549,,,,,,,,,,,,,,,,,Myers - Hudson Alpha Institute for Biotechnology,,,,,,,,,
SRX190181,,,,GSM1010725: HudsonAlpha_ChipSeq_A549_FOXA1_(SC-101058)_EtOH_0.02pct_v041610.2,,,,,,,,,,,,,,,,,EtOH_0.02pct,,,,,,FOXA1_(SC-101058),,,"1\\,2",,,,,,"epithelial cell line derived from a lung carcinoma tissue. (PMID: 175022)\\, ""This line was initiated in 1972 by D.J. Giard\\, et al. through explant culture of lung carcinomatous tissue from a 58-year-old caucasian male."" - ATCC\\, newly promoted to tier 2:...",,"SL3251\\,SL2665",Chromatin IP Sequencing,ChipSeq,1 h with 0.02% Ethanol (Myers),,,,"Mouse monoclonal IgG\\, raised against recombinant HNF-3a of human origin. Antibody Target:  FOXA1","This gene encodes a member of the forkhead class of DNA-binding proteins.  These hepatocyte nuclear factors are transcriptional activators for liver-specific transcripts such as albumin and transthyretin\\, and they also interact with chromatin. Similar ...",sc-101058,Santa Cruz Biotechnology,"SL3251\\,SL2665","2x10^7 cells\\, fragmentation by probe-in sonicator\\, one 15-cycle round of PCR (Myers)",v041610.2,endoderm,M,,,,cancer,,,,,human,A549,,,,,,,,,,,,,,,,,Myers - Hudson Alpha Institute for Biotechnology,,,,,,,,,
SRX190282,,,,GSM1010826: HudsonAlpha_ChipSeq_A549_FOXA1_(SC-101058)_DEX_100nM_v041610.2,,,,,,,,,,,,,,,,,DEX_100nM,,,,,,FOXA1_(SC-101058),,,"1\\,2",,,,,,"epithelial cell line derived from a lung carcinoma tissue. (PMID: 175022)\\, ""This line was initiated in 1972 by D.J. Giard\\, et al. through explant culture of lung carcinomatous tissue from a 58-year-old caucasian male."" - ATCC\\, newly promoted to tier 2:...",,"SL3251\\,SL2665",Chromatin IP Sequencing,ChipSeq,1 h with 100 nM Dexamethasone (Myers),,,,"Mouse monoclonal IgG\\, raised against recombinant HNF-3a of human origin. Antibody Target:  FOXA1","This gene encodes a member of the forkhead class of DNA-binding proteins.  These hepatocyte nuclear factors are transcriptional activators for liver-specific transcripts such as albumin and transthyretin\\, and they also interact with chromatin. Similar ...",sc-101058,Santa Cruz Biotechnology,"SL3250\\,SL2666","2x10^7 cells\\, fragmentation by probe-in sonicator\\, one 15-cycle round of PCR (Myers)",v041610.2,endoderm,M,,,,cancer,,,,,human,A549,,,,,,,,,,MACS,,,,,,,Myers - Hudson Alpha Institute for Biotechnology,,,,,,,,,
SRX190282,,,,GSM1010826: HudsonAlpha_ChipSeq_A549_FOXA1_(SC-101058)_DEX_100nM_v041610.2,,,,,,,,,,,,,,,,,DEX_100nM,,,,,,FOXA1_(SC-101058),,,"1\\,2",,,,,,"epithelial cell line derived from a lung carcinoma tissue. (PMID: 175022)\\, ""This line was initiated in 1972 by D.J. Giard\\, et al. through explant culture of lung carcinomatous tissue from a 58-year-old caucasian male."" - ATCC\\, newly promoted to tier 2:...",,"SL3251\\,SL2665",Chromatin IP Sequencing,ChipSeq,1 h with 100 nM Dexamethasone (Myers),,,,"Mouse monoclonal IgG\\, raised against recombinant HNF-3a of human origin. Antibody Target:  FOXA1","This gene encodes a member of the forkhead class of DNA-binding proteins.  These hepatocyte nuclear factors are transcriptional activators for liver-specific transcripts such as albumin and transthyretin\\, and they also interact with chromatin. Similar ...",sc-101058,Santa Cruz Biotechnology,"SL3250\\,SL2666","2x10^7 cells\\, fragmentation by probe-in sonicator\\, one 15-cycle round of PCR (Myers)",v041610.2,endoderm,M,,,,cancer,,,,,human,A549,,,,,,,,,,MACS,,,,,,,Myers - Hudson Alpha Institute for Biotechnology,,,,,,,,,
ERX096864,,,,hsa1294,,,hsa1294,,NA year,wild type,input_DNA,adult,liver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,,,male,,,,,,,,,,,,,,liver,,,,,,,,,,
ERX096864,,,,hsa1294,,,hsa1294,,NA year,wild type,input_DNA,adult,liver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,,,male,,,,,,,,,,,,,,liver,,,,,,,,,,
ERX096856,,,,hsaCRI1,,,hsaCRI1,,56 year,wild type,input_DNA,adult,liver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,,,male,,,,,,,,,,,,,,liver,,,,,,,,,,
ERX096857,,,,hsaCRI1,,,hsaCRI1,,56 year,wild type,H3K4me3,adult,liver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,,,male,,,,,,,,,,,,,,liver,,,,,,,,,,
ERX096857,,,,hsaCRI1,,,hsaCRI1,,56 year,wild type,H3K4me3,adult,liver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,,,male,,,,,,,,,,,,,,liver,,,,,,,,,,
ERX096860,,,,hsa1294,,,hsa1294,,NA year,wild type,RNAP2,adult,liver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,,,male,,,,,,,,,,,,,,liver,,,,,,,,,,
ERX096862,,,,hsa1328,,,"hsaHH1328,hsa1328",,NA year,wild type,RNAP2,adult,liver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,,,female,,,,,,,,,,,,,,liver,,,,,,,,,,
ERX096871,,,,hsa1294,,,hsa1294,,NA year,wild type,H3K4me3,adult,liver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,,,male,,,,,,,,,,,,,,liver,,,,,,,,,,
ERX096843,,,,hsa1328,,,"hsaHH1328,hsa1328",,NA year,wild type,input_DNA,adult,liver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,,,female,,,,,,,,,,,,,,liver,,,,,,,,,,
ERX161936,,,,do1822_PolIII_liver_1900_tc1TC141237_CRI02,,,hsaCRI2,,60 year,wild type,PolIII,adult,liver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tc1_with_hschr21,,,,male,,,,,,,,,,,,,,,,,,,,,,,,
SRX160843,Human primary fetal proerythroblasts (ProEs),CD34+ HSPC-derived proerythroblasts,GATA1,GSM970257: GATA1-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abcam,,,,,,,,,,,,,,2-trimester fetal liver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX160845,Human primary fetal proerythroblasts (ProEs),CD34+ HSPC-derived proerythroblasts,PolII,GSM970259: PolII-F (HiSeq 2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santa Cruz Biotechnology,,,,,,,,,,,,,,2-trimester fetal liver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX160848,Human primary fetal proerythroblasts (ProEs),CD34+ HSPC-derived proerythroblasts,none,GSM970262: Input-F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-trimester fetal liver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX117979,human fetal liver derived erythroblasts,,,GSM867105: FL_E-DS20402,human erythroblasts,,,,,,,,,,,,,,,,,,,,,,,AcH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX117979,human fetal liver derived erythroblasts,,,GSM867105: FL_E-DS20402,human erythroblasts,,,,,,,,,,,,,,,,,,,,,,,AcH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX117983,human fetal liver derived erythroblasts,,,GSM867109: FL_E-DS11463,human erythroblasts,,,,,,,,,,,,,,,,,,,,,,,H3K4me3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX118243,"HepG2 cells\\, H3K4me3 ChIP",,anti-H3K4me3,GSM868997: HepG2.H3K4me3_ChIP-Seq,human hepatocellular liver carcinoma cells,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX118244,"HepG2 cells\\, H3K27me3 ChIP",,anti-H3K27me3,GSM868998: HepG2.H3K27me3_ChIP-Seq,human hepatocellular liver carcinoma cells,HepG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX118245,"HepG2.2.15 cells\\, H3K4me3 ChIP",,anti-H3K4me3,GSM868999: HepG2.2.15.H3K4me3_ChIP-Seq,human hepatocellular liver carcinoma cells,HepG2.2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX118246,"HepG2.2.15 cells\\, H3K27me3 ChIP",,anti-H3K27me3,GSM869000: HepG2.2.15.H3K27me3_ChIP-Seq,human hepatocellular liver carcinoma cells,HepG2.2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX3595682,HuH-7 cells,,"H3K27Ac (Active Motif\\, 39133)",,Liver cancer cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX3595683,HuH-7 cells,,"H3K4me3 (CST\\, 9751)",,Liver cancer cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX3595684,HuH-7 cells,,"RNApol II (Active Motif\\, 61667)",,Liver cancer cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX3595685,HuH-7 cells,,none,,Liver cancer cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014819,liver,liver,none,,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,C,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014820,liver,liver,none,,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,C,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014821,liver,liver,"rabbit monoclonal B0422\\, abcam ab41969",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,C,,H3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014822,liver,liver,"rabbit monoclonal B0422\\, abcam ab41969",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,C,,H3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014823,liver,liver,"rabbit polyclonal\\, abcam ab8580",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,C,,H3K4me3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014824,liver,liver,"rabbit polyclonal\\, abcam ab8580",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,C,,H3K4me3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014825,liver,liver,"rabbit polyclonal\\, abcam ab8898",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,C,,H3K9me3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014826,liver,liver,"rabbit polyclonal\\, abcam ab8898",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,C,,H3K9me3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014827,liver,liver,"rabbit monoclonal C36B11\\, Cell Signaling Technology 9733S",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,C,,H3K27me3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014828,liver,liver,"rabbit monoclonal C36B11\\, Cell Signaling Technology 9733S",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,C,,H3K27me3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014829,liver,liver,none,,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,D,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014830,liver,liver,none,,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,D,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014831,liver,liver,"rabbit monoclonal B0422\\, abcam ab41969",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,D,,H3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014832,liver,liver,"rabbit monoclonal B0422\\, abcam ab41969",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,D,,H3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014833,liver,liver,"rabbit polyclonal\\, abcam ab8580",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,D,,H3K4me3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014834,liver,liver,"rabbit polyclonal\\, abcam ab8580",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,D,,H3K4me3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014835,liver,liver,"rabbit polyclonal\\, abcam ab8898",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,D,,H3K9me3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014836,liver,liver,"rabbit polyclonal\\, abcam ab8898",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,D,,H3K9me3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014837,liver,liver,"rabbit monoclonal C36B11\\, Cell Signaling Technology 9733S",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,D,,H3K27me3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014838,liver,liver,"rabbit monoclonal C36B11\\, Cell Signaling Technology 9733S",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,D,,H3K27me3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014844,liver,liver,none,,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,A/D,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014845,liver,liver,"rabbit polyclonal\\, abcam ab8580",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,A/D,,H3K4me3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014846,liver,liver,"rabbit polyclonal\\, abcam ab8580",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,A/D,,H3K4me3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014847,liver,liver,"rabbit polyclonal\\, abcam ab8898",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,A/D,,H3K9me3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014848,liver,liver,"rabbit polyclonal\\, abcam ab8898",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,A/D,,H3K9me3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014849,liver,liver,"rabbit monoclonal C36B11\\, Cell Signaling Technology 9733S",,liver biopsy,,,,,,,,,,,,,,,,,HBeAg+ hepatitis,,,,A/D,,H3K27me3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014850,liver,liver,none,,liver biopsy,,,,,,,,,,,,,,,,,"Under therapy (Tenofovir), HBeAg-",,,,D,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX4014851,liver,liver,"rabbit monoclonal B0422\\, abcam ab41969",,liver biopsy,,,,,,,,,,,,,,,,,"Under therapy (Tenofovir), HBeAg-",,,,D,,H3-ChIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
