ID	Reason
SRX1027450	Non-native indicator: Mesenchymal stem cells
SRX1027451	Non-native indicator: Mesenchymal stem cells
SRX1027452	Non-native indicator: Mesenchymal stem cells
SRX103445	Treated with JQ1
SRX1036365	Imortalized cell line
SRX1046555	knockout
SRX1046556	knockout
SRX1046557	knockout
SRX1046558	knockout
SRX10475435	Health conditions: DM, HTN
SRX10475436	Health conditions: DM, HTN
SRX10476797	Hypertension present
SRX10476798	Hypertension presenti
SRX10634383	Immortalized cell line N/TERT2G
SRX10697702	Non-native cell line
SRX107284	Transduced with lentivirus carrying DUX4
SRX10852977	AAVS1 null genotype
SRX10852978	MED12-null genotype
SRX10852979	AAVS1null genotypes
SRX10852980	MED12Null genotype
SRX10852981	AAVS1 Null genotype
SRX10852982	MED12-null genotype 
SRX10852983	Null genotype
SRX10852984	Null genotype
SRX10852985	Null genotype
SRX10852986	Null genotype
SRX10852987	Null genotype
SRX10852988	Null genotype
SRX1089823	Fetal
SRX1089825	Fetal
SRX1089826	Fetal cell source
SRX1089827	Fetal
SRX1089828	Fetal
SRX1089829	Fetal cells
SRX1089832	Fetal
SRX1089834	Fetal
SRX10913935	knockdown of EN1
SRX10913937	knockdown of EN1
SRX10913941	knockdown of EN1
SRX10913942	treated with TGFbeta
SRX10913943	knockdown of EN1
SRX10949099	FSHD2 disease
SRX10949100	FSHD2 disease
SRX10949235	BAMS (bosma arhinia microphthalmia syndrome)
SRX10949236	BAMS (bosma arhinia microphthalmia syndrome)
SRX10954233	polarized Th17 cells
SRX10954235	polarized Th17 cells, biological replicate 2
SRX10954237	polarized Th17 cells
SRX10954239	polarized Th17 cells, biological replicate 2
SRX10954241	polarized Th17 cells
SRX10954243	polarized Th17 cells, biological replicate 2
SRX10976184	In vitro differentiated cells
SRX10976185	In vitro differentiated cells
SRX10976217	Treated with calcium
SRX10976218	Treated with calcium
SRX10976458	Diabetes mellitus and hypertension
SRX10976459	Diabetes mellitus and hypertension
SRX10976484	Diabetes Mellitus; Hypertension
SRX10976485	Diabetes Mellitus; Hypertension
SRX10976536	Embryonic
SRX10976537	Embryonic
SRX10976683	Embryonic
SRX10976684	Embryonic
SRX10976685	Embryonic
SRX10976686	Embryonic
SRX10976697	Embryonic stage
SRX10976698	Embryonic stage
SRX10976701	Hypertension
SRX10976702	Hypertension
SRX10976792	Embryonic
SRX10976793	Embryonic, Organoid
SRX10976859	lungs with moderate emphysema
SRX10976860	lungs with moderate emphysema
SRX10976863	HTN: yes
SRX10976875	Embryonic
SRX10976876	Embryonic
SRX10976878	Embryonic
SRX10976879	Organoid
SRX10976935	Embryonic
SRX10976936	Embryonic
SRX10976937	Embryonic
SRX10976938	Embryonic
SRX10976991	Embryonic
SRX10976992	Embryonic, organoid
SRX10977140	Embryonic stage
SRX10977141	Embryonic stage
SRX10977145	Embryonic stage
SRX10977146	Embryonic stage
SRX10977147	Embryonic stage
SRX10977148	Embryonic stage
SRX10977149	Embryonic stage
SRX10977196	Embryonic sample
SRX10977203	Embryonic stage
SRX10977204	Embryonic stage
SRX10977205	Embryonic stage
SRX10977206	Embryonic stage
SRX10977237	Treated with calcium
SRX10977238	Treated with calcium
SRX10977361	in vitro differentiated cells
SRX10977362	 in vitro differentiated cells
SRX10977366	Embryonic stage
SRX10977367	Embryonic stage
SRX23058659	Tumor sample
SRX10977387	HTN: yes
SRX10977388	HTN: yes
SRX10977522	in vitro differentiated cells
SRX10977523	in vitro differentiated cells
SRX10977524	in vitro differentiated cells
SRX10977525	in vitro differentiated cells
SRX11120932	CdLS genotype
SRX11120938	CdLS genotype
SRX11120957	CdLS genotype
SRX11120958	CHOPS genotype
SRX11179929	DMSO-treated
SRX11179930	DMSO-treated
SRX11470442	infected with empty pLIV vector
SRX11470446	Infected with C-term V5-tagged EWSR1-ATF1
SRX11478228	Immortalized cell line (EBNA3A)
SRX11478229	Immortalized cell line (EBNA3A)
SRX11478230	Immortalized cell line (EBNA3A)
SRX11478231	Immortalized cell line (EBNA3A)
SRX11483609	Treated with calcium
SRX11513465	Tolerogenic dendritic cells
SRX11513467	Tolerogenic dendritic cells
SRX11513470	Differentiated cells
SRX11513471	Tolerogenic dendritic cells (differentiated, non-native state)
SRX11513472	Differentiated cells
SRX11513473	Tolerogenic dendritic cells (differentiated, non-native state)
SRX11515992	BAF60c knockdown
SRX11969040	Immortalized cell line
SRX11969041	Immortalized cell line
SRX11969043	HPV positive
SRX11969044	HPV positive
SRX12118507	Cell type indicates non-native
SRX12118508	Cell type indicates non-native
SRX12118509	knock out
SRX12129503	Treated with DMSO
SRX12129506	Treated with PLX
SRX12151157	Immortalized cell line
SRX12151158	Immortalized cell line
SRX12151159	Immortalized cell line
SRX12151160	Immortalized cell line
SRX12209231	Stimulated CD4+ T cells
SRX12209232	Stimulated CD4+ T cells
SRX12209237	Treated with CD3/CD28
SRX12209238	Treated with CD3/CD28
SRX12209239	Treated with CD3/CD28
SRX12209240	Treated with CD3/CD28
SRX12209241	Treated with CD3/CD28
SRX12209242	Treated with CD3/CD28
SRX12357929	treated
SRX12357931	treated
none	<none>
SRX12412434	Adipogenic induction
SRX12412435	Adipogenic induction
SRX12567782	Condition is low salt
SRX12622730	Treated with hydrocortisone and CORT108297
SRX12622732	Treated with CORT108297 and EtOH
SRX12622734	Treated with hydrocortisone and DMSO
SRX12622736	Treated with DMSO and EtOH
SRX12698892	Stimulated
SRX12698893	Stimulated
SRX12698894	Stimulated
SRX12698895	Treated with R848
SRX12698900	Treated with R848
SRX12698890	Not found in the data
SRX12698908	R848 stimulated
SRX12698909	R848 stimulated
SRX12698910	R848 stimulated
SRX13006636	DM, HTN
SRX13006678	Ischemic heart condition
SRX13006679	Ischemic heart condition
SRX13006718	HTN condition
SRX13006719	HTN condition
SRX13006720	HTN condition
SRX13006721	HTN condition
SRX13006772	ischemic
SRX13007592	ischemic condition
SRX13007593	ischemic condition
SRX130076xx	All the IDs here have 'tumor'
SRX13007981	Ischemic condition
SRX13007982	Ischemic condition
SRX13007993	Severe dysfunction, nonischemic condition
SRX13007994	Severe dysfunction, nonischemic condition
SRX13008747	Ischaemic Heart
SRX13008748	Ischaemic Heart
SRX13008809	ischemic
SRX13008810	ischemic
SRX13008860	Lungs with moderate emphysema
SRX13009098	child (indicates non-native developmental stage)
SRX13009099	child (indicates non-native developmental stage)
SRX13009141	Non-native sample
SRX13009142	Non-native sample
SRX13009184	DM
SRX13009185	DM, HTN
SRX13009190	Nonischemic disease
SRX13009191	Nonischemic disease
SRX13009235	Child tissue
SRX13150017	No reason provided.
SRX13150018	No reason provided.
SRX13183650	Transduced with EKLF-GATA1 medium
SRX13183651	Transduced with EKLF-GATA1 long
SRX13183649	Transduced with GATA1
SRX13183653	Transduced with GATA1
SRX13183654	Transduced with EKLF-GATA1 medium
SRX13183655	Transduced with EKLF-GATA1 long
SRX13183657	Treated with GATA1
SRX13183658	Treated with EKLF-GATA1 medium
SRX13183659	Treated with EKLF-GATA1 long
SRX1318615	embryonic
SRX1318617	embryonic
SRX1318619	embryonic
SRX1318620	embryonic
SRX1322299	Immortalized cell line (LCL)
SRX13262055	Immortalized cell line
SRX13273914	KO genotype
SRX13273917	KO genotype
SRX13318154	Genetic mutation (Lmna R527C)
SRX13602612	Disease state: ATR-X syndrome
SRX13602613	Disease state: ATR-X syndrome
SRX13681293	Lymphoblastoid cell line
SRX13681294	Lymphoblastoid cell line
SRX13681295	Lymphoblastoid cell line
SRX13681296	Lymphoblastoid cell line
SRX13681297	Lymphoblastoid cell line
SRX13681298	Lymphoblastoid cell line
SRX13681305	Lymphoblastoid Cell Line
SRX13681306	Lymphoblastoid Cell Line
SRX1397384	Treated with BMP4
SRX1397385	Treated with BMP4
SRX1397386	Treated with BMP4
SRX1397389	Treated with BMP4
SRX1397390	Treated with BMP4
SRX1397391	Treated with BMP4
SRX1397395	Treated
SRX1397396	Treated
SRX1397397	Treated
SRX1397401	Treated
SRX1397402	Treated
SRX1397403	Treated
SRX1397407	Treated with BMP4
SRX1397408	Treated with BMP4
SRX1397412	Treated with BMP4
SRX1425809	 Activated
SRX14280059	NAFLD
SRX14280060	NAFLD
SRX14280085	Disease state NAFLD
SRX14280086	Disease state NAFLD
SRX14280090	Disease state NAFLD
SRX1435941	Cell line name: stromal cells.
SRX144520	Treated with SFN
SRX144521	Treated with SFN
SRX144523	Treated with SFN
SRX144524	Vehile treated
SRX144525	Vehicle treated
SRX144527	Vehicle treated
SRX1456193	Immortalized LCL cell line
SRX1456195	Immortalized LCL cell line
SRX1460847	Treated with PMA/ionomycin, DMSO
SRX1460848	Treated with PMA/ionomycin, BAY 11-7082
SRX1460849	Treated with PMA/ionomycin, DMSO
SRX1460850	Treated with PMA/ionomycin, BAY 11-7082
SRX1460851	Treated with PMA/ionomycin, DMSO
SRX1460852	Treated with PMA/ionomycin, BAY 11-7082
SRX1460853	treated (in vitro differentiated)
SRX1460854	treated (BAT-7, PMA/ionomycin)
SRX1478537	Fetal stage
SRX1478538	Fetal stage
SRX1478539	Fetal stage
SRX1478540	Fetal stage
SRX1478541	Fetal stage
SRX1478542	Fetal stage
SRX1478543	Embryonic stage
SRX1478544	Embryonic stage
SRX14812503	Activated p53
SRX14853139	Treated with E2+MPA
SRX14853140	Treated with E2+MPA
SRX14853141	Treated with E2+MPA
SRX14853142	Treated with E2+MPA
SRX14888587	Immortalized cell line M2
SRX15036323	Immortalized cell line: Myla CD4+
SRX151229	Immortalized cell line: Lymphoblastoid cells
SRX151230	Immortalized cell line: Lymphoblastoid cells
SRX1547996	Treated with DMSO
SRX1547998	Treated with Nutlin-3a 10 μM
SRX15600233	Treated with TCDD
SRX15710554	Null genotype
SRX15710555	Null genotype
SRX15891788	Immortalized cell line
SRX1603678	Differentiated keratinocytes
SRX160843	Fetal cells
SRX1614803	Treated with R848
SRX1614804	Treated with R848
SRX1614809	Treated with R848
SRX1614810	Treated with R848
SRX16495545	No non-native indicators found
SRX16495546	No non native indicators found
SRX16495547	No non native indicators found
SRX16495588	ischemic
SRX16495589	ischemic
SRX16495663	not a drug-free
SRX16495630	not from an healthy specimen or donor.
SRX16495761	Activated CD8-positive T Cell
SRX16495762	Activated CD8-positive T Cell
SRX16498460	Severe emphysema
SRX16499729	Activated CD4-positive cell indicates non-native state
SRX16499730	Activated CD4-positive cell indicates non-native state
SRX16499731	Activated CD4-positive cell indicates non-native state
SRX16499828	Organoid
SRX16499925	Ischenamic heart disease
SRX16499926	Ischenamic heart disease
SRX16499968	child sample
SRX16499969	child sample
SRX16500059	embryonic
SRX16500060	embryonic
SRX16500061	embryonic
SRX16500062	embryonic
SRX16500149	Diseased (severe emphysema)
SRX16500150	Diseased (severe emphysema)
SRX1690216	Neuroblastoma
SRX1690217	Neuroblastoma
SRX1690218	DOX treament
SRX1690222	DOX treatment
SRX1690226	DOX treatment
SRX1690227	DOX treatment
SRX1690255	Neuroblastoma cancer line SHEP-21N
SRX1690259	Neuroblastoma cancer line SHEP-21N treated with DOX for 24HR
SRX1690263	Neuroblastoma cancer line SHEP-21N treated with DOX for 2HR
SRX170356	Cell type B cells
SRX1733648	Treated with IL10
SRX17491426	Transfected
SRX17491428	Transfected
SRX1759186	overexpressed ATF3
SRX1781649	Mutation present
SRX1781653	Mutation found in genotype
SRX1781655	LMNA p.R482W mutation
SRX1781659	Genetic mutation
SRX17834083	Co-cultured with tumor cells
SRX17834084	Co-cultured with tumor cells
SRX17966409	Knockdown of Let-7
SRX17966411	Knockdown of Let-7
SRX17966415	Let-7 Knockdown
SRX1799522	Treated cells
SRX1799528	Treated cells
SRX1799591	In vitro differentiated
SRX1799593	In vitro differentiated
SRX18119380	Tumor
SRX18156222	NAFLD
SRX18156223	NAFLD
SRX18156224	NAFLD
SRX18156225	NAFLD
SRX18156226	NAFLD
SRX18156227	NAFLD
SRX1823797	Immortalized cell line
SRX1823798	Immortalized cell line
SRX1823799	Immortalized cell line
SRX1823800	Immortalized cell line
SRX1823801	Immortalized cell line
SRX1823802	Immortalized cell line
SRX1823809	Immortalized cell line
SRX1823810	Immortalized cell line
SRX1823811	Immortalized cell line
SRX1823812	Immortalized cell line
SRX1823813	Immortalized cell line
SRX1823814	Immortalized cell line
SRX1823815	Fetal cells, immortalized
SRX1823816	Fetal cells, immortalized
SRX1823817	Fetal cells, immortalized
SRX1823818	Fetal cells, immortalized
SRX1842780	Neuroblastoma
SRX1842781	Neuroblastoma
SRX18517819	Treated with DMSO
SRX18517820	Treated with ROM
SRX18517821	Treated with SAHA
SRX186666	No reason found
SRX186670	None found
SRX18672592	CTCF-KD treatment
SRX18672593	CTCF-KD treatment
SRX1878943	Immortalized cell line
SRX188959	Immortalized cell line 'Lung'
SRX188970	Medullo cells mentioned
SRX19123211	Disease state - C9HRE ALS/FTD
SRX19123214	Disease state - C9HRE ALS/FTD
SRX1920486	Treated with IL-2
SRX1920488	Treated with IL-2 and HODHBt
SRX19304507	Adipose derived stem cells
SRX19304509	Adipose derived stem cells
SRX19304518	Adipose derived stem cells
SRX19304527	Adipose derived stem cells
SRX19304538	Adipose derived stem cells
SRX19304546	Adipose derived stem cells
SRX19487526	Treated w/ L2HG
SRX19487527	Treated w/ L2HG
SRX19495644	Treated with TCDD
SRX19495645	Treated with TCDD
SRX19538281	Mutated p53 genotype
SRX19538282	Mutated p53 genotype
SRX19664486	Immortalized cell line
SRX19664487	Immortalized cell line
SRX19664488	Immortalized cell line
SRX19664489	Immortalized cell line
SRX19738542	Treated with CRISPRa system
SRX19738543	Treated with CRISPRa system
SRX19738544	Treated with CRISPRa system for HOXDeRNA activation
SRX19738545	Treated with CRISPRa system for HOXDeRNA activation
SRX198034	JQ1 treated
SRX200050	Hutchinson-Gilford progeria syndrome
SRX200052	Hutchinson-Gilford progeria syndrome
SRX20097676	treated with 1,25D3
SRX20097681	Treated with 1,25D3
SRX20097682	Treated with 1,25D3
SRX20097683	Treated with 1,25D3
SRX20097684	Treated with 1,25D3
SRX20097685	Treated with 1,25D3
SRX20097686	Treated with 1,25D3
SRX20140869	Null genotype
SRX20140870	Non-wild genotype (INTS10HET2)
SRX20140891	Null genotype
SRX20140892	Null genotype
SRX20140896	Null genotype
SRX203387	Diagnosis: Multiple myeloma, treatment with JQ1
SRX203389	Diagnosis: Multiple myeloma, treatment with JQ1
SRX203390	Diagnosis:Multiple myeloma , treatment with JQ1
SRX203388	Diagnosis:multiple  myeloma, treatment with DMSO 
SRX203391	Diagnosis:Multiple myelamoa ,treatment with DMSO 
SRX203395	Cancer-related diagnosis
SRX20420564	knockin
SRX20420565	knockin
SRX20420566	knockin
SRX20420567	knockin
SRX20420568	knockin
SRX20420569	knockin
SRX20420570	TFAP4 knockin
SRX20420571	tNGFR knockin
SRX20420572	BATF-TFAP4 knockin
SRX20420573	BATF knockin
SRX20420574	TFAP4 knockin
SRX20420575	tNGFR knockin
SRX20420576	Null genotype
SRX20420579	Null genotype
SRX20420582	BATF-TFAP4 knockin
SRX20420583	tNGFR knockin
SRX20440536	Neonatal tissue
SRX205164	Cell culture
SRX205165	Cell culture
SRX205166	Cell culture
SRX205167	Cell culture
SRX20662341	Adapted to growth media
SRX20662345	Primary cells cultured in 15% FBS instead of the regular 10% growth media
SRX20971023	KAT6A, not wild-type or control
SRX20971024	KAT6A, not wild-type or control
SRX2109209	Immortalized cell line
SRX2109214	Immortalized cell line
SRX2109219	Immortalized cell line
SRX212182	Fetal cells indicate embryonic origin
SRX212183	Treated with TNF-α (10ng/mL) 1hr
SRX212184	Fetal cells indicate embryonic origin
SRX212185	Treated with TNF-α (10ng/mL) 1hr
SRX212319	Monocyte-derived macrophages
SRX212353	Hypoxic treatment
SRX212357	Hypoxia treatment
SRX212358	Hypoxia treatment
SRX212360	Interleukin-Treatement 
SRX212359	Treatment with interleukin-10 
SRX212362	Treated
SRX212363	Treated
SRX212364	Treated
SRX212365	Treated, Hypoxy
SRX212366	Treated, Hypoxy
SRX212440	Expanded conventional T cells
SRX212441	Expanded conventional T cells
SRX212442	Immortalized cell line name
SRX212443	Non-native cell line
SRX212445	Expanded cells
SRX212446	Expanded cells
SRX212447	Treated with a non native method
SRX212448	CD4+CD25- expanded
SRX212647	Treated with MCSF
SRX212648	Treated with MCSF and IFN-gamma
SRX212649	Treated with MCSF and LPS 
SRX212650	Treated with MCSF, IFN-gamma and LPS
SRX212651	Treated with MCSF and IFN-gamma
SRX212661	Treated with MCSF
SRX212662	Treated with MCSF and IFN-gamma
SRX212663	Treated with MCSF and LPS
SRX212664	Treated with MCSF, IFN-gamma and LPS
SRX2166885	Fetal Week
SRX2166886	Fetal Week
SRX2166887	Fetal Week
SRX21668885	Retinoblastoma
SRX2166894	Disease state: retinoblastoma
SRX2166895	Treatment was a xenograft (not unmodified)
SRX21849426	Treated with ACLR
SRX22037065	Immortalized cell line E14TG2a.IV mouse ES cells
SRX22037066	Immortalized cell line E14TG2a.IV mouse ES cells
SRX22037065	Immortalized cell line E14TG2a.IV mouse ES cells
SRX2253219	Diagnosis is CLL
SRX2253220	Diagnosis is CLL
SRX2253222	Diagnosis is CLL
SRX2253223	Diagnosis is CLL
SRX2253225	Diagnosis is CLL
SRX2253226	Diagnosis is CLL
SRX2253228	CLL diagnosis
SRX22532981	Potential non-native indicator 'knockout'
SRX2254716	viral transduction
SRX2254717	viral transduction
SRX2254718	viral transduction
SRX2254719	viral transduction
SRX2268290	Adipocyte differentiation
SRX2268291	Osteoblast differentiation
SRX2268292	Fetal cells
SRX2281258	Fetal
SRX2281260	Fetal bone marrow
SRX23045263	treated with TGFb
SRX23045264	treated with TGFb
SRX23045265	treated with TGFb
SRX23045266	Treated with TGFb and Adropin34-76
SRX23045267	Treated with TGFb and Adropin34-76
SRX23045268	Treated with TGFb and Adropin34-76
SRX23335286	Immortalized cell line
SRX23335287	Immortalized cell line
SRX2343922	passage >0
SRX2343923	passage >0
SRX2343924	passage >0
SRX2343925	passage >0
SRX2343934	passage >0
SRX2343935	passage >0
SRX2343937	Has passages
SRX23548770	miR-1204 overexpression
SRX2367969	LPS treatment
SRX237289	Activated with antibodies
SRX237290	Activated with antibodies
SRX2388757	Immortalized cell line/Myofibroblasts
SRX24330007	Spleen-injury
SRX24330009	Portal hypertension combined with hypersplensim (PHcH)
SRX24545853	IL-10 treatment
SRX24545857	IL-10 treatment and transfection with Heat4-encoding plasmid
SRX24545864	Treatment with plasmid and IL-10
SRX24545863	Not in data but needed for correct formatting.
SRX2464017	Treated through CD3/CD28 signaling
SRX2464018	Treated through CD3/CD28 signaling
SRX25037647	Differentiation from pluripotent stem cells
SRX25331425	Cell line ICR_CXJ_046
SRX25501804	AR silencing treatment
SRX25501807	AR silencing treatment
SRX25501808	HDF-1 cell line
SRX25501811	AR silencing treatment
SRX25501812	AR silencing treatment
SRX25501815	HDF-2 cell line
SRX25501818	Immortalized cell line (HDF-2)
SRX25501819	Treated with AR silencing
SRX256993	Immortalized cell line: Lymphoblastoid
SRX256994	Immortalized cell line: Lymphoblastoid
SRX256995	Immortalized cell line: Lymphoblastoid
SRX256996	Immortalized cell line: Lymphoblastoid
SRX256997	Immortalized cell line: Lymphoblastoid
SRX256998	Immortalized cell line: Lymphoblastoid
SRX256999	Immortalized cell line
SRX257000	EtOH Treatment
SRX2630137	Non-obstructive CAD
SRX2630138	Non-obstructive CAD
SRX2635806	CAD mention
SRX2635807	CAD mention
SRX2635902	CAD
SRX2635903	CAD
SRX2635951	 CAD
SRX2635952	CAD
SRX2635955	Healthy with CAD
SRX2635956	Healthy with CAD
SRX2636084	Has Coronory artery disease
SRX2636092	In vitro differentiated cells
SRX2636093	In vitro differentiated cells
SRX2636234	Coronary artery disease
SRX2636235	Coronary artery disease
SRX2636352	Coronary artery disease
SRX2636353	Coronary artery disease
SRX2636404	In vitro differentiated cells
SRX2636405	In vitro differentiated cells
SRX2642968	Not a non-native indicator
SRX2671799	<endothelial cell passage>
SRX2731772	Non-native cell line: SHEP-21N
SRX2731775	Non-native cell line: SHEP-21N
SRX2731778	Non-native cell line SHEP-21N, Doxycycline Treatment 
SRX2731783	Non-native cell line: tetracycline MYCN
SRX2731786	Non-native cell line:tetracycline MYCN
SRX2731789	Non-Native Cell line :SHEP with tetracycline inducible MYCN
SRX2765967	Fetal cells
SRX2765968	Fetal cells
SRX2770844	IF Ngamma treated
SRX2770845	IFN-gamma
SRX2770850	MAF IFN-treatment
SRX2770854	Treated with IFN-gamma
SRX2770855	Treated with IFN-gamma
SRX2770856	None given, but further confirmation of no treatment required as the sample is treated as native based on untreated conditions.
SRX2770860	sample with fetal origin might not be confirmed unless the other data states that it is indeed a native sample.
SRX2778384	Immortalized lymphoblastoid cell line
SRX2778385	YY1-mutated
SRX2778388	Lymphoblastoid cell line
SRX2778389	Lymphoblastoid cell line
SRX2778390	Lymphoblastoid cell line
SRX2778394	Immortalized lymphoblastoid cell line (LC)
SRX2778395	Immortalized lymphoblastoid cell line (LC)
SRX2778396	YY1-mutated
SRX2778397	YY1-mutated
SRX2778398	YY1 hemizygous deletion
SRX2778399	YY1-mutated
SRX278504	treated with nutlin-3
SRX278506	treated with doxo
SRX278510	 treated with IR
SRX2791697	Gene mutation
SRX2791698	Gene mutation
SRX2791699	Gene mutation
SRX2791700	Gene mutation
SRX2821738	Stimulated treatment, non-native
SRX2821739	Stimulated treatment, non-native
SRX286018	Treated with IFNg
SRX2867628	Non-native cell line + treated with chemicals
SRX2867629	Non-native cell line + treated with chemicals
SRX2867630	Non-Native cell line and treated with DMSO
SRX2966968	fetal
SRX2966969	fetal
SRX2966972	fetal
SRX2966973	fetal
SRX2990553	Chondrosarcoma
SRX2990554	Chondrosarcoma
SRX3010015	Embryonic stage
SRX3010016	Embryonic stage
SRX3010017	Embryonic stage
SRX3010190	In vitro differentiated cells
SRX3010191	in vitro differentiated neurons
SRX3010194	in vitro differentiated cells
SRX3010195	in vitro differentiated cells
SRX3010297	Embryonic stage
SRX3056625	Fetal
SRX3056626	Fetal
SRX3083285	treament
SRX3100755	Immortalized cell line (HK) mentioned
SRX3195440	cancer
SRX323565	C57BL/6 strain
SRX3240987	hMSC-TERT4 cell line
SRX3240988	hMSC-TERT Cell line 
SRS3240990	hMSC-TERT Cell line
SRX3240993	Immortalized cell line hMSC-TERT4
SRX3240994	Immortalized cell line hMSC-TERT4
SRX3240995	Immortalized cell line hMSC-TERT4
SRX3240996	Immortalized cell line hMSC-TERT4
SRX3240997	Immortalized cell line hMSC-TERT4
SRX3240998	Immortalized cell line hMSC-TERT4
SRX3321881	Unknown non-native indicator
SRX3322106	Digestive tract
SRX3322233	Health state indicates coronary artery disease
SRX3322234	Health state indicates coronary artery disease
SRX3322334	Non-native sample from healthy tissue, upper lobe of left lung
SRX3322453	Not clear but age is significant
SRX3322476	Adult sample
SRX3322609	Colon, Transverse
SRX3322641	None specified but adult stage
SRX3322772	sample has non-native tissue specific 'Leg skin'
SRX3322808	Prostate gland (possibly cancer or other pathology)
SRX3322855	Cancer
SRX3322907	Tissue type is tumor and adult cells, the donor Id has disease.
SRX3322975	Donor age over 40
SRX3322998	adult tissue
SRX3323014	NA
SRX3323031	CAD
SRX3323032	CAD
SRX3323072	No non-native indicators detected
SRX3345973	fetal
SRX3367137	Passaged cell line
SRX3367138	Passaged cell line
SRX338979	Knockout
SRX3408800	Blood-derived cell
SRX3445722	Immortalized cell line: EBV-transformed
SRX3445723	Immortalized cell line: EBV-transformed
SRX3460916	Pre-B cell line
SRX3460917	Pre-B cell line
SRX3460918	Pre-B cell line
SRX3460919	Pre-B cell line
SRX3460920	Immortalized cell line
SRX3460921	Immortalized cell line
SRX3468047	Immortalized cell line
SRX3468052	shRNA targeting SS18
SRX3468053	shRNA targeting SUZ12-SSX1 or SUU
SRX346921	Infection with lentivirus
SRX346922	BRAFV600E overexpression
SRX3511907	Treated with TGFb1
SRX3511908	Treated with TGFb1
SRX352046	Treated with menadione
SRX3545872	Cancer sample
SRX3545876	Cancer sample
SRX3545880	Cancer sample
