0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
ERX200514	CTCF	Blood	B cells	NA	107363270,97.6,31.2,32260	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706534	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:24Z	INSDC status=public	Submitter Id=GM12828-sc-2011-06-09T13:38:43Z-1162264	common name=human	sample name=GM12828-sc-2011-06-09T13:38:43Z-1162264													
ERX200515	CTCF	Blood	B cells	NA	81264823,97.2,10.5,18500	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=male	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706532	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:25Z	INSDC status=public	Submitter Id=GM12872-sc-2011-06-09T13:38:44Z-1162265	common name=human	sample name=GM12872-sc-2011-06-09T13:38:44Z-1162265													
ERX200526	CTCF	Blood	B cells	NA	82323044,99.6,15.7,1615	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=male	ArrayExpress-Species=Homo sapiens	ENA-FIRST-PUBLIC=2013-01-30T11:24:07Z	ENA-LAST-UPDATE=2018-03-08T16:03:56Z	External Id=SAMEA1706528	INSDC center name=SC	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T16:03:56Z	INSDC status=public	Submitter Id=GM12874-sc-2011-06-09T13:38:45Z-1162267	common name=human	sample name=GM12874-sc-2011-06-09T13:38:45Z-1162267	scientific_name=Homo sapiens													
ERX200532	CTCF	Blood	B cells	NA	134178146,99.6,27.9,2504	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=male	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706490	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:08Z	INSDC status=public	Submitter Id=GM06986-sc-2011-06-09T13:38:11Z-1162210	common name=human	sample name=GM06986-sc-2011-06-09T13:38:11Z-1162210													
ERX200534	CTCF	Blood	B cells	NA	50232186,98.5,17.1,15294	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706492	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:23Z	INSDC status=public	Submitter Id=GM07037-sc-2011-06-09T13:38:13Z-1162213	common name=human	sample name=GM07037-sc-2011-06-09T13:38:13Z-1162213													
ERX200535	CTCF	Blood	B cells	NA	48733340,99.5,7.0,13908	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706494	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:02Z	INSDC status=public	Submitter Id=GM07346-sc-2011-06-09T13:38:15Z-1162215	common name=human	sample name=GM07346-sc-2011-06-09T13:38:15Z-1162215													
ERX200536	CTCF	Blood	B cells	NA	104681719,98.4,19.9,34652	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=male	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706525	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:25Z	INSDC status=public	Submitter Id=GM12814-sc-2011-06-09T13:38:42Z-1162262	common name=human	sample name=GM12814-sc-2011-06-09T13:38:42Z-1162262													
ERX200537	CTCF	Blood	B cells	NA	93478560,96.7,18.5,27682	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706529	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:04Z	INSDC status=public	Submitter Id=GM12815-sc-2011-06-09T13:38:42Z-1162263	common name=human	sample name=GM12815-sc-2011-06-09T13:38:42Z-1162263													
ERX200540	CTCF	Blood	B cells	NA	50906561,98.2,66.0,865	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=male	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706495	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:24Z	INSDC status=public	Submitter Id=GM07357-sc-2011-06-09T13:38:16Z-1162217	common name=human	sample name=GM07357-sc-2011-06-09T13:38:16Z-1162217													
ERX200543	CTCF	Blood	B cells	NA	58557061,98.6,10.3,32069	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=male	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706500	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:23Z	INSDC status=public	Submitter Id=GM11831-sc-2011-06-09T13:38:19Z-1162222	common name=human	sample name=GM11831-sc-2011-06-09T13:38:19Z-1162222													
ERX2242375	BCL11A	Breast	Breast cells	NA	42385148,95.1,66.9,621	Illumina HiSeq 2500 paired end sequencing	ArrayExpress-CellType=BREAST	ArrayExpress-Immunoprecipitate=BCL11A	ArrayExpress-OrganismPart=BREAST	ArrayExpress-Sex=female	ArrayExpress-Species=Homo Sapien	ENA-CHECKLIST=ERC000011	ENA-FIRST-PUBLIC=2017-10-31T10:19:10Z	ENA-LAST-UPDATE=2018-03-09T09:23:37Z	External Id=SAMEA3638999	INSDC center name=SC	INSDC first public=2017-10-31T10:19:10Z	INSDC last update=2018-03-09T09:23:37Z	INSDC status=public	Submitter Id=231_BCL11A-sc-2456064	common name=human	sample description=ChIPSeq_BCL11A	sample name=231_BCL11A-sc-2456064	scientific_name=Homo sapiens										
ERX2242379	BCL11A	Breast	Mammary epithelial cells	NA	18652417,93.4,82.4,99	Illumina HiSeq 2500 paired end sequencing	ArrayExpress-CellType=Mammary Epithelial	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Immunoprecipitate=BCL11A(mix)	ArrayExpress-Phenotype=TNBC cancer	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2017-10-31	ENA last update=2016-07-12	ENA-CHECKLIST=ERC000011	External Id=SAMEA4075774	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2017-10-31T10:19:10Z	INSDC last update=2016-07-12T16:58:34Z	INSDC status=public	Submitter Id=48d476c0-d3f5-11e5-88b1-3c4a9275d6c6	common name=human	sample description=BCL11A chipseq	sample name=48d476c0-d3f5-11e5-88b1-3c4a9275d6c6									
ERX2242380	CHD8	Breast	Mammary epithelial cells	NA	4806786,96.4,38.7,80	Illumina HiSeq 2500 paired end sequencing	ArrayExpress-CellType=Mammary Epithelial	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Immunoprecipitate=CHD8	ArrayExpress-Phenotype=TNBC cancer	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2017-10-31	ENA last update=2016-07-12	ENA-CHECKLIST=ERC000011	External Id=SAMEA4075775	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2017-10-31T10:19:10Z	INSDC last update=2016-07-12T16:58:35Z	INSDC status=public	Submitter Id=48e31cc0-d3f5-11e5-88b1-3c4a9275d6c6	common name=human	sample description=CHD8 chipseq	sample name=48e31cc0-d3f5-11e5-88b1-3c4a9275d6c6									
ERX2242381	ARID1A	Breast	Mammary epithelial cells	NA	14092949,96.5,77.5,118	Illumina HiSeq 2500 paired end sequencing	ArrayExpress-CellType=Mammary Epithelial	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Immunoprecipitate=ARID1A	ArrayExpress-Phenotype=TNBC cancer	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2017-10-31	ENA last update=2016-07-12	ENA-CHECKLIST=ERC000011	External Id=SAMEA4075776	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2017-10-31T10:19:10Z	INSDC last update=2016-07-12T16:58:36Z	INSDC status=public	Submitter Id=48eeb580-d3f5-11e5-88b1-3c4a9275d6c6	common name=human	sample description=ARID1A chipseq	sample name=48eeb580-d3f5-11e5-88b1-3c4a9275d6c6									
ERX2242385	BCL11A	Breast	Mammary epithelial cells	NA	15994030,93.7,47.4,253	Illumina HiSeq 2500 paired end sequencing	ArrayExpress-CellType=Mammary Epithelial	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Immunoprecipitate=BCL11A(mix)	ArrayExpress-Phenotype=TNBC cancer (with BCL11A KD)	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2017-10-31	ENA last update=2016-07-12	ENA-CHECKLIST=ERC000011	External Id=SAMEA4075780	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2017-10-31T10:19:10Z	INSDC last update=2016-07-12T16:58:39Z	INSDC status=public	Submitter Id=491cca60-d3f5-11e5-88b1-3c4a9275d6c6	common name=human	sample description=BCL11A chipseq	sample name=491cca60-d3f5-11e5-88b1-3c4a9275d6c6									
ERX2242386	CHD8	Breast	Mammary epithelial cells	NA	11560648,74.8,80.1,70	Illumina HiSeq 2500 paired end sequencing	ArrayExpress-CellType=Mammary Epithelial	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Immunoprecipitate=CHD8	ArrayExpress-Phenotype=TNBC cancer (with BCL11A KD)	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2017-10-31	ENA last update=2016-07-12	ENA-CHECKLIST=ERC000011	External Id=SAMEA4075781	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2017-10-31T10:19:10Z	INSDC last update=2016-07-12T16:58:40Z	INSDC status=public	Submitter Id=4929c2b0-d3f5-11e5-88b1-3c4a9275d6c6	common name=human	sample description=CHD8 chipseq	sample name=4929c2b0-d3f5-11e5-88b1-3c4a9275d6c6									
ERX2242387	ARID1A	Breast	Mammary epithelial cells	NA	21184665,93.4,68.1,252	Illumina HiSeq 2500 paired end sequencing	ArrayExpress-CellType=Mammary Epithelial	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Immunoprecipitate=ARID1A	ArrayExpress-Phenotype=TNBC cancer (with BCL11A KD)	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2017-10-31	ENA last update=2016-07-12	ENA-CHECKLIST=ERC000011	External Id=SAMEA4075782	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2017-10-31T10:19:10Z	INSDC last update=2016-07-12T16:58:40Z	INSDC status=public	Submitter Id=49355b70-d3f5-11e5-88b1-3c4a9275d6c6	common name=human	sample description=ARID1A chipseq	sample name=49355b70-d3f5-11e5-88b1-3c4a9275d6c6									
