ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
SRX3195440,native,75,"Highest weight keyword: 'control' (category: native, score: 100.0). Matches found: 'control' in 'genotype' (native/100.0); 'untreated' in 'genotype' (native/100.0)",native,LLM Classification (Native). Reason: genotype=control untreated,LLM (Native Validation)
SRX3322085,unknown,0,No relevant keywords,native,LLM Classification (Native). Reason: sample_type=tissue | dev_stage=adult | age=37 year,LLM (Fallback)
SRX3584198,unknown,0,No relevant keywords,native,LLM Classification (Native). Reason: cell type=Primary human epididymis cells,LLM (Fallback)
SRX3585704,non-native,100,"Highest weight keyword: 'fetal' (category: strong_non_native, score: 100.0). Matches found: 'fetal' in 'source_name' (strong_non_native/100.0); 'fetal' in 'cell type' (strong_non_native/100.0); 'donor' in 'donor' (native/100.0); 'wt' in 'genotype' (native/100.0)",non-native,,Keyword (Non-Native)
SRX3666492,non-native,50,"Highest weight keyword: 'stimulated' (category: weak_non_native, score: 86.95652173913044). Matches found: 'stimulated' in 'source_name' (weak_non_native/86.95652173913044); 'stimulated' in 'cell type' (weak_non_native/86.95652173913044)",non-native,,Keyword (Non-Native)
SRX3734300,native,75,"Highest weight keyword: 'DMSO' (category: native, score: 100.0). Matches found: 'DMSO' in 'treatment' (native/100.0)",non-native,LLM Classification (Non-Native). Reason: treatment=DMSO,LLM (Native Validation)
SRX3768737,non-native,100,"Highest weight keyword: 'overexpression' (category: strong_non_native, score: 100.0). Matches found: 'overexpression' in 'genotype/variation' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX382353,non-native,100,"Highest weight keyword: 'immortalized' (category: strong_non_native, score: 100.0). Matches found: 'immortalized' in 'cell type' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX5360085,unknown,0,No relevant keywords,native,LLM Classification (Native). Reason: neoplastic stage=untransformed,LLM (Fallback)
SRX5360094,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: neoplastic stage=transformed,LLM (Fallback)
SRX5371741,native,75,"Highest weight keyword: 'donor' (category: native, score: 100.0). Matches found: 'donor' in 'individual' (native/100.0)",native,LLM Classification (Native). Reason: Cell_type=CD4+ T cells | Metadata=source_name=primary blood,LLM (Native Validation)
SRX5391035,non-native,100,"Highest weight keyword: 'kd' (category: strong_non_native, score: 100.0). Matches found: 'kd' in 'genotype' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX5574342,native,75,"Highest weight keyword: 'donor' (category: native, score: 90.9090909090909). Matches found: 'donor' in 'donr id' (native/90.9090909090909)",native,LLM Classification (Native). Reason: tissue/cell type=peripheral blood | cell subtype=primary monocytes,LLM (Native Validation)
SRX5624369,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: treatment=TNF (10ng/ml) for 16 hours,LLM (Fallback)
SRX5716451,native,75,"Highest weight keyword: 'wild-type' (category: native, score: 100.0). Matches found: 'wild-type' in 'genotype/variation' (native/100.0)",native,LLM Classification (Native). Reason: genotype/variation=wild type,LLM (Native Validation)
SRX5839978,unknown,0,No relevant keywords,native,LLM Classification (Native). Reason: Cell_type=Macrophages | Metadata=source_name=Primary human monocyte-derived macrophages,LLM (Fallback)
SRX6578928,unknown,0,No relevant keywords,native,"LLM Classification (Native). Reason: disease state=Healthy T cells, treatment=N/A",LLM (Fallback)
SRX6763473,non-native,100,"Highest weight keyword: 'treatment' (category: strong_non_native, score: 100.0). Matches found: 'treatment' in 'treatment' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX6763478,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: treatment=primary monocytes,LLM (Fallback)
SRX6784062,unknown,0,No relevant keywords,native,LLM Classification (Native). Reason: sample_type=tissue,LLM (Fallback)
SRX6969885,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: cell type=CHD6 heterozygous mutant,LLM (Fallback)
SRX7015671,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: cell line=CRL7250,LLM (Fallback)
SRX735289,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: source_name=In vitro differentiated Th1 cells | treatment/agent=PMA/ionomycin,LLM (Fallback)
SRX7509594,unknown,0,No relevant keywords,native,LLM Classification (Native). Reason: ID=SRX7509594 | Cell_type_class=Gonad | Cell_type=Testis | Metadata=sample_type=tissue | tissue=testis | dev_stage=adult | age=37 year | donor ID=ENCDO845WKR,LLM (Fallback)
SRX8090642,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: treatment=JQ1,LLM (Fallback)
SRX8090646,native,75,"Highest weight keyword: 'DMSO' (category: native, score: 100.0). Matches found: 'DMSO' in 'treatment' (native/100.0)",non-native,LLM Classification (Non-Native). Reason: diagnosis=Rheumatoid arthritis,LLM (Native Validation)
SRX8841627,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: condition=Acheiropodia patient,LLM (Fallback)
SRX8841631,native,75,"Highest weight keyword: 'normal' (category: native, score: 100.0). Matches found: 'normal' in 'condition' (native/100.0)",native,LLM Classification (Native). Reason: condition=Normal | cell type=Lymphoblast cells,LLM (Native Validation)
SRX885892,native,75,"Highest weight keyword: 'control' (category: native, score: 100.0). Matches found: 'control' in 'treatment' (native/100.0)",native,LLM Classification (Native). Reason: treatment=Control,LLM (Native Validation)
SRX885896,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: treatment=oxLDL,LLM (Fallback)
SRX9029210,non-native,100,"Highest weight keyword: 'treatment' (category: strong_non_native, score: 90.0). Matches found: 'treatment' in 'treatment' (strong_non_native/90.0)",non-native,,Keyword (Non-Native)
SRX9029211,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: treatment=R848 (5mM),LLM (Fallback)
SRX9221932,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: treatment=17 β-estradiol (1 µM) | treatment time=8 hours,LLM (Fallback)
SRX9221933,native,75,"Highest weight keyword: 'DMSO' (category: native, score: 100.0). Matches found: 'DMSO' in 'treatment' (native/100.0)",non-native,LLM Classification (Non-Native). Reason: treatment=DMSO,LLM (Native Validation)
SRX9345717,native,75,"Highest weight keyword: 'wild-type' (category: native, score: 100.0). Matches found: 'wild-type' in 'genotype' (native/100.0)",non-native,LLM Classification (Non-Native). Reason: iPSC differentiation,LLM (Native Validation)
SRX971583,non-native,100,"Highest weight keyword: 'neonatal' (category: strong_non_native, score: 100.0). Matches found: 'neonatal' in 'cell type' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX9867030,unknown,0,No relevant keywords,native,LLM Classification (Native). Reason: Cell_type=CD8+ T cells,LLM (Fallback)
SRX9969717,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: cell line=16HBE14o-,LLM (Fallback)
