ID	Transcription_Factor	Cell_type_class	Cell_type	Metadata
SRX10475436	CTCF	Cardiovascular	Left ventricle	sample type=tissue | tissue=heart left ventricle | health state=DM: yes; HTN: yes; CAD: no | dev_stage=adult | age=59 year | donor ID=ENCDO856ZOJ
SRX10475460	CTCF	Digestive tract	Colon	sample_type=tissue | tissue=transverse colon | dev_stage=adult | age=51 year | donor ID=ENCDO271OUW
SRX10475461	CTCF	Digestive tract	Colon	sample_type=tissue | tissue=transverse colon | dev_stage=adult | age=51 year | donor ID=ENCDO271OUW
SRX10475462	CTCF	Digestive tract	Colon	sample_type=tissue | tissue=transverse colon | dev_stage=adult | age=51 year | donor ID=ENCDO271OUW
SRX10476783	CTCF	Muscle	Gastrocnemius medialis	sample_type=tissue | tissue=gastrocnemius medialis | dev_stage=adult | age=51 year | donor ID=ENCDO271OUW
SRX10476798	CTCF	Cardiovascular	Left ventricle	sample type=tissue | tissue=heart left ventricle | health state=DM: no; HTN: yes; CAD: no | dev_stage=adult | age=40 year | donor ID=ENCDO392CRK
SRX10478145	CTCF	Cardiovascular	Left ventricle	sample type=tissue | tissue=heart left ventricle | health state=DM: no; HTN: no; CAD: no | dev_stage=adult | age=46 year | donor ID=ENCDO411EVD
SRX10852990	MED12	Blood	T cells	source_name=primary T cells | treatment=unstimulated | genotype=AAVS1-null
SRX10852991	MED12	Blood	T cells	source_name=primary T cells | treatment=unstimulated | genotype=AAVS1-null
SRX10852993	MED12	Blood	T cells	source_name=primary T cells | treatment=stimulated | genotype=AAVS1-null
SRX10852994	MED12	Blood	T cells	source_name=primary T cells | treatment=stimulated | genotype=AAVS1-null
SRX10949092	CTCF	Muscle	Muscles	source_name=muscle cells | disease=Control
SRX10949100	CTCF	Muscle	Muscles	source_name=muscle cells | disease=FSHD2
SRX10949236	CTCF	Muscle	Muscles	source_name=muscle cells | disease=BAMS (bosma arhinia microphthalmia syndrome)
SRX10954235	BATF	Blood	CD4+ T cells	source_name=BATF ChIP-seq | cell source=Human umbilical cord blood | cell type=Human naive CD4+ T cells polarized to Th17-fate for 72h
SRX10954239	FOSL1	Blood	CD4+ T cells	source_name=FOSL1 ChIP-seq | cell source=Human umbilical cord blood | cell type=Human naive CD4+ T cells polarized to Th17-fate for 72h
SRX10954243	FOSL2	Blood	CD4+ T cells	source_name=FOSL2 ChIP-seq | cell source=Human umbilical cord blood | cell type=Human naive CD4+ T cells polarized to Th17-fate for 72h
SRX10976124	CTCF	Uterus	Uterus	sample_type=tissue | tissue=uterus | dev_stage=adult | age=51 year | donor ID=ENCDO271OUW
SRX10976185	CTCF	Cardiovascular	Endothelial Cells	sample type=in vitro differentiated cells | dev stage=adult | age=53 year | donor ID=ENCDO336AAA | cell type=endothelial cell
SRX10976368	CTCF	Uterus	Vagina	sample_type=tissue | tissue=vagina | dev_stage=adult | age=51 year | donor ID=ENCDO271OUW
SRX10976427	EZH2	Epidermis	Dermal fibroblast	age=53 year | donor ID=ENCDO336AAA | dev stage=adult | sample type=primary cell | cell type=fibroblast of arm
SRX10976459	CTCF	Pancreas	Pancreas	sample type=tissue | tissue=pancreas | health state=DM: yes; HTN: yes; CAD: no | dev_stage=adult | age=59 year | donor ID=ENCDO856ZOJ
SRX10976478	EZH2	Epidermis	Dermal fibroblast	age=53 year | donor ID=ENCDO336AAA | dev stage=adult | sample type=primary cell | cell type=fibroblast of arm
SRX10976485	CTCF	Lung	Lung	sample type=tissue | tissue=lower lobe of left lung | health state=DM: yes; HTN: yes; CAD: no | dev_stage=adult | age=59 year | donor ID=ENCDO856ZOJ
SRX10976492	CTCF	Others	Thyroid Gland	sample_type=tissue | tissue=thyroid gland | dev_stage=adult | age=51 year | donor ID=ENCDO271OUW
SRX10976537	CTCF	Others	Mesothelial cells	sample type=in vitro differentiated cells | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA | cell type=mesothelial cell of epicardium
SRX10976684	CTCF	Bone	Chondrocytes	sample type=in vitro differentiated cells | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA | cell type=chondrocyte
SRX10976685	CTCF	Bone	Chondrocytes	sample type=in vitro differentiated cells | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA | cell type=chondrocyte
SRX10976686	CTCF	Bone	Chondrocytes	sample type=in vitro differentiated cells | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA | cell type=chondrocyte
SRX10976698	CTCF	Kidney	Nephrons	sample type=organoid | tissue=nephron | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA
SRX10976702	CTCF	Lung	Lung	sample type=tissue | tissue=lower lobe of left lung | health state=DM: no; HTN: yes; CAD: no; lungs with severe emphysema | dev_stage=adult | age=60 year | donor ID=ENCDO520EJG
SRX10976745	CTCF	Cardiovascular	Left ventricle	sample_type=tissue | tissue=heart left ventricle | dev_stage=adult | age=51 year | donor ID=ENCDO271OUW
SRX10976793	CTCF	Neural	Brain	sample type=organoid | tissue=brain | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA
SRX10976836	CTCF	Pancreas	Pancreas	sample type=tissue | tissue=pancreas | health state=DM: no; HTN: no; CAD: no | dev_stage=adult | age=41 year | donor ID=ENCDO575WHY
SRX10976860	CTCF	Pancreas	Pancreas	sample type=tissue | tissue=pancreas | health state=DM: no; HTN: no; CAD: no; lungs with moderate emphysema | dev_stage=adult | age=61 year | donor ID=ENCDO186XRB
SRX10976864	CTCF	Lung	Lung	sample type=tissue | tissue=left lung | health state=DM: no; HTN: yes; CAD: no | dev_stage=adult | age=40 year | donor ID=ENCDO392CRK
SRX10976876	CTCF	Muscle	Muscle, Smooth	age=5 day | donor ID=ENCDO222AAA | dev stage=embryonic | sample type=in vitro differentiated cells | cell type=smooth muscle cell | health state=healthy
SRX10976879	CTCF	Kidney	Nephrons	sample type=organoid | tissue=nephron | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA
SRX10976906	CTCF	Cardiovascular	Right ventricle	sample type=tissue | tissue=heart right ventricle | health state=DM: no; HTN: no; CAD: no | dev_stage=adult | age=46 year | donor ID=ENCDO411EVD
SRX10976936	CTCF	Neural	Brain	sample type=organoid | tissue=brain | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA
SRX10976937	CTCF	Neural	Brain	sample type=organoid | tissue=brain | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA
SRX10976938	CTCF	Neural	Brain	sample type=organoid | tissue=brain | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA
SRX10976992	CTCF	Kidney	Nephrons	sample type=organoid | tissue=nephron | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA
SRX10977141	CTCF	Pancreas	Pancreatic progenitors	sample type=in vitro differentiated cells | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA | cell type=progenitor cell of endocrine pancreas
SRX10977146	CTCF	Bone	Osteocytes	sample type=in vitro differentiated cells | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA | cell type=osteocyte
SRX10977147	CTCF	Bone	Osteocytes	sample type=in vitro differentiated cells | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA | cell type=osteocyte
SRX10977148	CTCF	Bone	Osteocytes	sample type=in vitro differentiated cells | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA | cell type=osteocyte
SRX10977149	CTCF	Bone	Osteocytes	sample type=in vitro differentiated cells | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA | cell type=osteocyte
SRX10977204	CTCF	Kidney	Nephrons	sample type=in vitro differentiated cells | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA | cell type=nephron progenitor cell
SRX10977205	CTCF	Kidney	Nephrons	sample type=in vitro differentiated cells | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA | cell type=nephron progenitor cell
SRX10977206	CTCF	Kidney	Nephrons	sample type=in vitro differentiated cells | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA | cell type=nephron progenitor cell
SRX10977246	CTCF	Digestive tract	Stomach	sample_type=tissue | tissue=stomach | dev_stage=adult | age=51 year | donor ID=ENCDO271OUW
SRX10977293	CTCF	Others	Adrenal Glands	sample_type=tissue | tissue=adrenal gland | dev_stage=adult | age=51 year | donor ID=ENCDO271OUW
SRX10977362	CTCF	Neural	Astrocytes	sample type=in vitro differentiated cells | dev stage=adult | age=53 year | donor ID=ENCDO336AAA | cell type=astrocyte
SRX10977367	CTCF	Neural	Brain	sample type=organoid | tissue=brain | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA
SRX10977368	CTCF	Neural	Brain	sample type=organoid | tissue=brain | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA
SRX10977388	CTCF	Cardiovascular	Right ventricle	sample type=tissue | tissue=heart right ventricle | health state=DM: no; HTN: yes; CAD: no | dev_stage=adult | age=40 year | donor ID=ENCDO392CRK
SRX10977523	CTCF	Neural	Excitatory neuron	sample type=in vitro differentiated cells | dev stage=adult | age=53 year | donor ID=ENCDO336AAA | cell type=excitatory neuron
SRX10977524	CTCF	Neural	Excitatory neuron	sample type=in vitro differentiated cells | dev stage=adult | age=53 year | donor ID=ENCDO336AAA | cell type=excitatory neuron
SRX10977525	CTCF	Neural	Excitatory neuron	sample type=in vitro differentiated cells | dev stage=adult | age=53 year | donor ID=ENCDO336AAA | cell type=excitatory neuron
SRX11157739	AAV Rep68	Others	Epithelial cells	source_name=Epithelial | tissue=Kidney | cell type=Epithelial
SRX11157761	AAV Rep68	Others	Epithelial cells	source_name=Epithelial | tissue=Kidney | cell type=Epithelial
SRX11157762	AAV Rep68	Others	Epithelial cells	source_name=Epithelial | tissue=Kidney | cell type=Epithelial
SRX11157763	AAV Rep68	Others	Epithelial cells	source_name=Epithelial | tissue=Kidney | cell type=Epithelial
SRX11157764	AAV Rep68	Others	Epithelial cells	source_name=Epithelial | tissue=Kidney | cell type=Epithelial
SRX11179930	BRD4	Neural	Microglia cell line	source_name=Microglia cell line | cell line=Microglia cell line C13NJ | treatment=DMSO-treated
SRX11179932	BRD4	Neural	Microglia cell line	source_name=Microglia cell line | cell line=Microglia cell line C13NJ | treatment=JQ1-treated for 24h
SRX11955266	AFF1	Epidermis	Keratinocytes	source_name=primary human neonatal keratinocytes | cell type=undifferentiated keratinocytes | treatment=N/A
SRX11969041	BRD4	Epidermis	Keratinocytes	source_name=Cervical keratinocytes | cell type=Integrated HPV16 positive cervical keratinocytes | cell line=W12-20831 | treatment=Untreated
SRX11969043	BRD4	Epidermis	Keratinocytes	source_name=Cervical keratinocytes | cell type=Integrated HPV16 positive cervical keratinocytes | cell line=W12-20861 | treatment=Untreated
SRX11969045	BRD4	Epidermis	Keratinocytes	source_name=Cervical keratinocytes | cell type=Integrated HPV16 positive cervical keratinocytes | cell line=W12-20862 | treatment=Untreated
SRX11969047	BRD4	Epidermis	Keratinocytes	source_name=Cervical keratinocytes | cell type=Extrachromosomal HPV16 positive cervical keratinocytes | cell line=W12-20863 | treatment=Untreated
SRX12027421	EBF1	Blood	B-cell (CD19+)	source_name=EBF1 ChIP of CD19+ human primary B cells | cell type=CD19+ B cells
SRX12027422	EBF1	Blood	B-cell (CD19+)	source_name=EBF1 ChIP of CD19+ human primary B cells | cell type=CD19+ B cells
SRX12151158	GATA1	Blood	CD34+	source_name=D12_HiChIP_GATA1 | tissue=cord blood | cell type=Day12 CD34+ cells
SRX12151160	KLF1	Blood	CD34+	source_name=D12_HiChIP_KLF1 | tissue=cord blood | cell type=Day12 CD34+ cells
SRX12387244	EGR1	Blood	CD34 Hematopoietic stem cells	source_name=CD34+ Hematopoietic and Stem Progenitor Cell | shRNA=NA | days post shrna infection=NA | cell type=CD34+ Hematopoietic and Stem Progenitor Cell
SRX12387245	EGR1	Blood	CD34 Hematopoietic stem cells	source_name=CD34+ Hematopoietic and Stem Progenitor Cell | shRNA=NA | days post shrna infection=NA | cell type=CD34+ Hematopoietic and Stem Progenitor Cell
SRX12387246	EGR1	Blood	CD34 Hematopoietic stem cells	source_name=CD34+ Hematopoietic and Stem Progenitor Cell | shRNA=NA | days post shrna infection=NA | cell type=CD34+ Hematopoietic and Stem Progenitor Cell
SRX12412429	LMNB1	Adipocyte	Adipose stem cells	"source_name=Human primary adipose stem cells | time point=Day -2 (proliferative; ""Pro"") | cell type=Proliferating adipose stem cells (ASCs) in growth medium"
SRX12412431	LMNB1	Adipocyte	Adipose stem cells	source_name=Human primary adipose stem cells | time point=00 Hours (T00) | cell type=ASCs on the day of differentiation induction
SRX12412433	LMNB1	Adipocyte	Adipose stem cells	source_name=Human primary adipose stem cells | time point=24 Hours (T24) | cell type=ASCs on 24 hours after adipogenic induction
SRX12412435	LMNB1	Adipocyte	Adipose stem cells	source_name=Human primary adipose stem cells | time point=72 Hours (T72) | cell type=ASCs on 72 hours after adipogenic induction
SRX12567779	TBP	Epidermis	Foreskin	source_name=Primary human foreskin fibroblast (HFF) | cell type=HFF | treatment=untreated | condition=Low Salt | exp=5
SRX13005478	CTCF	Cardiovascular	Right ventricle	tissue=heart right ventricle | sample type=tissue | dev_stage=adult | age=56 year | donor ID=ENCDO907YUG | health state=PGD
SRX13005512	CTCF	Neural	Frontal cortex	sample_type=tissue | tissue=middle frontal area 46 | dev stage=adult | age=89 year | donor ID=ENCDO707TUE
SRX13005554	CTCF	Neural	Frontal cortex	tissue=middle frontal area 46 | sample type=tissue | dev stage=adult | age=90 or above year | donor ID=ENCDO101GPB
SRX13006335	CTCF	Neural	Frontal cortex	tissue=middle frontal area 46 | sample type=tissue | dev_stage=adult | age=90 or above year | donor ID=ENCDO637GUS
SRX13006442	CTCF	Neural	Frontal cortex	sample_type=tissue | tissue=middle frontal area 46 | dev stage=adult | age=81 year | donor ID=ENCDO097MEH
SRX13006466	CTCF	Neural	Frontal cortex	sample_type=tissue | tissue=middle frontal area 46 | dev stage=adult | age=84 year | donor ID=ENCDO461DJY
SRX13006477	CTCF	Neural	Frontal cortex	tissue=middle frontal area 46 | sample type=tissue | dev_stage=adult | age=88 year | donor ID=ENCDO151OJB
SRX13006601	CTCF	Neural	Frontal cortex	tissue=middle frontal area 46 | sample type=tissue | dev stage=adult | age=88 year | donor ID=ENCDO070VNS
SRX13006635	CTCF	Neural	Frontal cortex	sample_type=tissue | tissue=middle frontal area 46 | dev stage=adult | age=87 year | donor ID=ENCDO940VNT
SRX13006637	CTCF	Others	Spleen	sample type=tissue | tissue=spleen | health state=DM: yes; HTN: yes; CAD: no | dev_stage=adult | age=59 year | donor ID=ENCDO856ZOJ
SRX13006666	CTCF	Neural	Frontal cortex	sample_type=tissue | tissue=middle frontal area 46 | dev stage=adult | age=90 or above year | donor ID=ENCDO359XWR
SRX13006675	CTCF	Neural	Frontal cortex	sample_type=tissue | tissue=middle frontal area 46 | dev stage=adult | age=90 or above year | donor ID=ENCDO672KST
SRX13006679	CTCF	Cardiovascular	Left ventricle	tissue=heart left ventricle | sample type=tissue | dev_stage=adult | age=54 year | donor ID=ENCDO039RUH | health state=ischemic (EF 13 %, LVEDD 7.1; RV severe dilation, severe dysfunction)
SRX13006696	CTCF	Others	Adrenal Glands	sample_type=tissue | tissue=adrenal gland | dev stage=adult | age=41 year | donor ID=ENCDO575WHY | health state=DM: no; HTN: no; CAD: no
SRX13006697	CTCF	Others	Adrenal Glands	sample_type=tissue | tissue=adrenal gland | dev stage=adult | age=41 year | donor ID=ENCDO575WHY | health state=DM: no; HTN: no; CAD: no
SRX13006698	CTCF	Others	Adrenal Glands	sample_type=tissue | tissue=adrenal gland | dev stage=adult | age=41 year | donor ID=ENCDO575WHY | health state=DM: no; HTN: no; CAD: no
SRX13006719	CTCF	Cardiovascular	Left ventricle	sample_type=tissue | tissue=left ventricle myocardium inferior | dev stage=adult | age=60 year | donor ID=ENCDO520EJG | health state=DM: no; HTN: yes; CAD: no; lungs with severe emphysema
SRX13006720	CTCF	Cardiovascular	Left ventricle	sample_type=tissue | tissue=left ventricle myocardium inferior | dev stage=adult | age=60 year | donor ID=ENCDO520EJG | health state=DM: no; HTN: yes; CAD: no; lungs with severe emphysema
SRX13006721	CTCF	Cardiovascular	Left ventricle	sample_type=tissue | tissue=left ventricle myocardium inferior | dev stage=adult | age=60 year | donor ID=ENCDO520EJG | health state=DM: no; HTN: yes; CAD: no; lungs with severe emphysema
SRX13006734	CTCF	Neural	Frontal cortex	sample_type=tissue | tissue=middle frontal area 46 | dev stage=adult | age=83 year | donor ID=ENCDO832DBZ
SRX13006772	CTCF	Cardiovascular	Right ventricle	tissue=heart right ventricle | sample type=tissue | dev_stage=adult | age=73 year | donor ID=ENCDO804CLC | health state=ischemic (EF 35%, LVEDD 5.7; RV mildly dilated, moderate dysfunction)
SRX13006783	CTCF	Neural	Frontal cortex	sample_type=tissue | tissue=middle frontal area 46 | dev stage=adult | age=90 or above year | donor ID=ENCDO201EUI
SRX13006800	CTCF	Neural	Frontal cortex	sample_type=tissue | tissue=middle frontal area 46 | dev stage=adult | age=88 year | donor ID=ENCDO669IVL
SRX13006803	CTCF	Neural	Frontal cortex	sample_type=tissue | tissue=middle frontal area 46 | dev stage=adult | age=74 year | donor ID=ENCDO907CMO
SRX13007270	CTCF	Neural	Frontal cortex	sample_type=tissue | tissue=middle frontal area 46 | dev stage=adult | age=71 year | donor ID=ENCDO570AKP
SRX13007593	CTCF	Cardiovascular	Right ventricle	tissue=heart right ventricle | sample type=tissue | health state=ischemic (EF 29% LVEDD 5.4; RV normal size, mild dysfunction) | dev stage=adult | age=66 year | donor ID=ENCDO926KEV
SRX13007613	CTCF	Neural	Frontal cortex	sample_type=tissue | tissue=middle frontal area 46 | dev stage=adult | age=87 year | donor ID=ENCDO354SJE
SRX13007629	CTCF	Neural	Frontal cortex	tissue=middle frontal area 46 | sample type=tissue | dev_stage=adult | age=90 or above year | donor ID=ENCDO915WZE
SRX13007635	CTCF	Neural	Frontal cortex	tissue=middle frontal area 46 | sample type=tissue | dev stage=adult | age=83 year | donor ID=ENCDO592ZWW
SRX13007648	CTCF	Cardiovascular	Left ventricle	tissue=heart left ventricle | sample type=tissue | dev_stage=adult | age=43 year | donor ID=ENCDO967KID | health state=nonischemic (EF 23%, LVEDD 6.1; RV moderate dilation, normal function)
SRX13007678	CTCF	Neural	Frontal cortex	tissue=middle frontal area 46 | sample type=tissue | dev_stage=adult | age=90 or above year | donor ID=ENCDO754RFQ
SRX13007982	CTCF	Cardiovascular	Right ventricle	tissue=heart right ventricle | sample type=tissue | health state=ischemic (EF 25% LVEDD 5.7; RV mildly dilated, moderate dysfunction) | dev stage=adult | age=69 year | donor ID=ENCDO477WED
SRX13007994	CTCF	Cardiovascular	Right ventricle	tissue=heart right ventricle | sample type=tissue | dev_stage=adult | age=61 year | donor ID=ENCDO808ASZ | health state=nonischemic (EF 11% LVEDD 7.7; RV severe dilation, severe dysfunction)
SRX13008005	CTCF	Neural	Frontal cortex	tissue=middle frontal area 46 | sample type=tissue | dev_stage=adult | age=90 or above year | donor ID=ENCDO006DAA
SRX13008032	CTCF	Neural	Frontal cortex	sample_type=tissue | tissue=middle frontal area 46 | dev stage=adult | age=90 or above year | donor ID=ENCDO660TGP
SRX13008083	CTCF	Neural	Frontal cortex	tissue=middle frontal area 46 | sample type=tissue | dev_stage=adult | age=90 or above year | donor ID=ENCDO847KYQ
SRX13008136	CTCF	Neural	Frontal cortex	sample_type=tissue | tissue=middle frontal area 46 | dev stage=adult | age=90 or above year | donor ID=ENCDO153NUY
SRX13008163	CTCF	Neural	Frontal cortex	tissue=middle frontal area 46 | sample type=tissue | dev stage=adult | age=87 year | donor ID=ENCDO640RUC
SRX13008276	CTCF	Neural	Frontal cortex	tissue=middle frontal area 46 | sample type=tissue | dev_stage=adult | age=90 or above year | donor ID=ENCDO033BMB
SRX13008421	CTCF	Neural	Frontal cortex	tissue=middle frontal area 46 | sample type=tissue | dev stage=adult | age=89 year | donor ID=ENCDO830KFO
SRX13008437	CTCF	Neural	Frontal cortex	tissue=middle frontal area 46 | sample type=tissue | dev stage=adult | age=90 or above year | donor ID=ENCDO471EKG
SRX13008452	CTCF	Others	Spleen	sample type=tissue | tissue=spleen | health state=DM: no; HTN: no; CAD: no | dev_stage=adult | age=26 year | donor ID=ENCDO221IPH
SRX13008453	CTCF	Others	Spleen	sample type=tissue | tissue=spleen | health state=DM: no; HTN: no; CAD: no | dev_stage=adult | age=26 year | donor ID=ENCDO221IPH
SRX13008465	CTCF	Neural	Frontal cortex	sample_type=tissue | tissue=middle frontal area 46 | dev stage=adult | age=78 year | donor ID=ENCDO236YSH
SRX13008683	CTCF	Neural	Frontal cortex	tissue=middle frontal area 46 | sample type=tissue | dev stage=adult | age=87 year | donor ID=ENCDO423GGP
SRX13008748	CTCF	Cardiovascular	Left ventricle	tissue=heart left ventricle | sample type=tissue | health state=ischemic (EF 35%, LVEDD 5.7; RV mildly dilated, moderate dysfunction) | dev stage=adult | age=73 year | donor ID=ENCDO804CLC
